tx_hash,latency(ms)
724xo8oBJgoUt6uwsQHCVVLR9iZeocH1WbEMDbBGMSDD,622
CD3LSFCge489u4ZRtfRAQawdnC3115DzeUG2un4PudkT,605
2nUMt7APZSyzRxmsy1ozcFkYM8SyCGXsmD8iFpi4sHgE,595
47YhHdTU57ziXngEC4nmKMw257pfTx7UFVXtFm5mjYZs,603
G63Z7kiCm71GUGvock6efBTxk8x8Gy1Evn8RxgW3e4T5,618
GrwFdLSAZDv8Si99iHCLGQfoRgVEUMQFYp3EZAkMmTZk,615
Tf65W2sRp4oQvggY26w1Lb4pRM39ZgE8Zu9zngUnSfP,614
22HJGTHLMxFdPAKtDka86dfZZyu2LqExcLksnLbh8jcX,605
78w6U9bcvBBf9qqcksysdByqCqrxv2N72PfMEkoybjQk,599
5KuJsYqxS5Kej4PWUBYfPC59dmffJegzt3FBPpftuJMu,614
En4f9Q3kf8FtNbsP4VfdU5rbTGfugBsdLBjxJybwWCUW,618
7qfaSeRUWejm7Mi972ckP15Bw6XQjecE25fHFxarYhQL,617
F2iDt9rBGWQhwqidwQ6PduXyHizMS2Acwhpb269NXtXm,815
AToxTnWb7WeQKUWUz6ekZ3XsXpaFzbigdHmBDG3MbkWn,823
BPigN6ZYLUhViijwZrvoVNUHJ8aSaZHZ1AVoA5tG8tKR,825
9DpMqqJU12Fdi3MvgbHp4TSsDnYE6bcyZzupXfBieFFk,834
CdM4L8s8HNE6crcMNZekTBe9VKQBtq2AvN1TyqEni3SJ,833
6tWUPQ85Y8J7ZBwCZVgu5WdFLmmP19gTrHyisu8LZ9eo,814
GzPKtUqwYVBLsbKV2LuCywoyvEu2uvXzKuLgRQbwb51T,815
4WPu1G73nGXYm5V6hPkowMogt1a9N2HumDbqD4cqnF9o,837
DVrsnccmH3abxn5aFyjrG1bLspoJ2AbzsTAHcPWxoujy,824
BMs6sTPzuoZGGeFyXmnCEFiK12DB45Ecoav8UPtH2p4v,835
2ruCoBAZ6RuzYhgXScpPXtaXtsGSvC3x2eLKDZu9dKK5,842
CGKbnnkXaarR8icpWFiuLSzbvTqMxtXPGMCwMdt2cGR1,841
51nNCupHvU7awAoXWBPL6rCngqXmcKzH17GWM79pSdHE,837
9V7XB8Mmp7VQrvWQChtsmaUYqmVQiq7gBmUH5rp5gR94,840
6gFwUFbZA7fBEiXw8hDDaeQEkvBfwGNP4hoUY84fp9iX,1217
AqMsqtJxLrBBEjGQxZQr17GokHm7VYsoSdnDahbMztbh,1218
HCnR9dCswmfp7z3AyqEAfVtFSYQmhJbgcjPfyNKgsciy,1218
2No3vFUB8nzeFS9ioHhtySaUAhzmqUWeGuAukdGpACBy,1219
2HS5BPJks7GTy4dmG1sMvqqbayNARS2hiMf4Q9u1jMWj,1219
6z3Fmc1NUffN2MbkFzTsM3smo3jrWwVX82GHrUMPzGJu,1211
AmhzohuFMRUUJS7M3huvZQvxDGwqkwjJmV3tVeRyGi1q,1215
9BFYBen6zNRekQDiVyfoLdjiNfJnXgmz4xYA6GMA4Ba7,1223
9gmdb1qLXxp3SLaR8oTjg4kDcd6b5Ssr2e6SBYoejcWY,1487
65fBGxrR98uJbNtjjHx179ZNpPg3Zq1BFrudCjRubtPL,1479
5f5G3ShUzJSa57gKyhcNRieD35GHhy9xPSQDmE48jBxx,1489
HFAjSxZJpioV22qFXofcX7diMfALNCTjQynQXhsteRaH,1499
TUSRUpbvAJXhhGNTD9cx24fHwQHsXK9tYeuqweDwy1U,1515
CzADQ7ogVzScKWpsU1KsB5eipWhetHhAiQXWxs9rqiEy,1496
CqGDb71p19nLZTqXtgGDHk8y3QfdUjRLg1twoaSGCBap,1485
HBR3hrNTGFjMqKEMXK2Q8ubDjabukRkXuqEk6HjvhNKa,2383
