tx_hash,pool_id,amount_x_in,amount_y_in,amount_x_out,amount_y_out,reserve_x,reserve_y,slippage
7cwM158KnTS1oMcnxdDAP23iCBqQ3wrtNKyCue1otKCH,0x07b2069a5ae4cb94c14ba071c02b1455553136abc85fdbf98161366284758ce8,0,831,414,0,50000009,99999999,0.00000041399932
7FfuKVXYpCCYcDLH5KjMEJJvu1oWMnff9wPgVbAcLico,0x79dca6e7bafb9b49480b86e261d14a6e465818ac38fbc122cd7958a1bda2b0fe,476,0,0,949,50000552,99998905,0.00000047450015
EBSqoZrSZHWEZGrBd8bv45EAFkyE2gFkhLUdBzgMBxLw,0x07b2069a5ae4cb94c14ba071c02b1455553136abc85fdbf98161366284758ce8,876,0,0,1746,50000876,99998254,0.000000873
9HZWHdoUbmg6L8grKHLN7jTy5YA3AUBJte3CZ6FN2npU,0x07b2069a5ae4cb94c14ba071c02b1455553136abc85fdbf98161366284758ce8,0,625,311,0,50000856,99998299,0.00000031099856
HcDKBLS8NqvedjRQF6Afctas9PWpuvPEGCvXUfYjpKnX,0x79dca6e7bafb9b49480b86e261d14a6e465818ac38fbc122cd7958a1bda2b0fe,475,0,0,947,50000076,99999854,0.00000047349926
G88jDZnHKHKURSJmehD3t1oPnVGq74n34MadwqFLxxHF,0xa6cc0205be51c1988d76e7a17dca58fff02a3a72878312edb0daeef20cd1f9df,402,0,0,801,50000410,99999192,0.0000004005
2eGUATWL7HVvG9anUs3DCH38zFoL7rzQ9XxJ1Ehk2Cps,0x07b2069a5ae4cb94c14ba071c02b1455553136abc85fdbf98161366284758ce8,291,0,0,580,50001167,99997674,0.00000029000103
D6sVt3EHYEhjyDWFuUMihjazVEPTfTAuMGrcGU8is2Gp,0x79dca6e7bafb9b49480b86e261d14a6e465818ac38fbc122cd7958a1bda2b0fe,0,878,437,0,50000115,99999783,0.00000043699904
6TXvuJ7VwZmidLnSyUkGU9w12C6wPhn2SnbJ5P6CrbxT,0x79dca6e7bafb9b49480b86e261d14a6e465818ac38fbc122cd7958a1bda2b0fe,0,801,399,0,49999601,100000801,0.000000399
744AsBWxkprtoiWpgdHfp3qiWwdXRiopX5HJt1uatNaJ,0x79dca6e7bafb9b49480b86e261d14a6e465818ac38fbc122cd7958a1bda2b0fe,0,938,467,0,49999648,100000721,0.00000046699978
G1edWt7RQdBPt9c7Z4gjP4hJDkGqugHS3KK8KAi3tg9G,0xa6cc0205be51c1988d76e7a17dca58fff02a3a72878312edb0daeef20cd1f9df,657,0,0,1310,50001067,99997882,0.00000065500103
AWvaRoScP2mB27uMGRG36CzotZ3SbK3scmMFGA2ZMyM9,0x07b2069a5ae4cb94c14ba071c02b1455553136abc85fdbf98161366284758ce8,0,869,433,0,50000423,99999168,0.0000004329985
HHxkxMpezqDouV8tMw8ZkJBBUG3VsSXVd4bkb3j89iiJ,0xa6cc0205be51c1988d76e7a17dca58fff02a3a72878312edb0daeef20cd1f9df,570,0,0,1136,50000343,99999320,0.0000005679995
41NKwhUq59dQC74kghPuZUYQCuTSjVYL1qyZMBKgjJue,0xa6cc0205be51c1988d76e7a17dca58fff02a3a72878312edb0daeef20cd1f9df,0,996,496,0,50000571,99998878,0.0000004959979
82ausT1PtgkPkBDWGirnbBCkhsL23aQJP6gh9QC5VZ7t,0xa6cc0205be51c1988d76e7a17dca58fff02a3a72878312edb0daeef20cd1f9df,0,673,335,0,50000008,99999993,0.00000033499956
AajTwMQ7oDK3F3TB2y5B9Vjgg6R7AxA8hn8kJP83pJda,0xa6cc0205be51c1988d76e7a17dca58fff02a3a72878312edb0daeef20cd1f9df,0,456,227,0,49999773,100000456,0.000000227
8Z8vpxNvgBut2cJbog5Fmq1QVuZf9TJBz2xV54mTGTub,0xa6cc0205be51c1988d76e7a17dca58fff02a3a72878312edb0daeef20cd1f9df,908,0,0,1810,50001058,99997913,0.00000090500055
Ekp9a8TFJHGHe4oQQaHWz2jZ3KsY8nkNf5BVja7GBYsP,0x88e26b42b71f5801641045c69b0dda7d5b2f5b29d496aeefc9f52aa62b4bea63,0,957,477,0,49999328,100001350,0.00000047700036
CBBGqniUtb3pRNJHTApaGamjcUau8HGuo8qfLUED5JyA,0x07b2069a5ae4cb94c14ba071c02b1455553136abc85fdbf98161366284758ce8,982,0,0,1958,50001134,99997764,0.0000009790006
GLsUb1doyaogcnJVziaXWQDmcUeL1DD4kRkQqd6SaZEP,0x88e26b42b71f5801641045c69b0dda7d5b2f5b29d496aeefc9f52aa62b4bea63,402,0,0,801,50000731,99998557,0.0000004005005
HfJtM7LFrySxV6fVNDL5fX3rWQMG1gk7bWQMkYLzMAzL,0x79dca6e7bafb9b49480b86e261d14a6e465818ac38fbc122cd7958a1bda2b0fe,667,0,0,1329,50000874,99998278,0.00000066450053
5V4jExcC7gqS9b4oqJEULKtvS3qoS624DR1PkD9ZwGJM,0x79dca6e7bafb9b49480b86e261d14a6e465818ac38fbc122cd7958a1bda2b0fe,559,0,0,1114,50000207,99999607,0.00000055699917
AYaUpTThTDt3VwD7qJuaamhLBUbZGjrgieg3UiLUiKZk,0x07b2069a5ae4cb94c14ba071c02b1455553136abc85fdbf98161366284758ce8,646,0,0,1288,50000374,99999276,0.0000006439993
4VjaomFEYCA4TbfjQTm476WXChXhiYmCZUeRE8iixKCx,0xa6cc0205be51c1988d76e7a17dca58fff02a3a72878312edb0daeef20cd1f9df,670,0,0,1335,50002380,99995280,0.00000066750454
DCdoArFVDErS3HtC2KpsSHpNU6yNuesJtkUnFNfXhmYL,0x79dca6e7bafb9b49480b86e261d14a6e465818ac38fbc122cd7958a1bda2b0fe,927,0,0,1848,50001801,99996430,0.0000009240032
5BfJRVwjLdrc9u2qUN1NhyiQx3HD7kAtWEguFgBD5imi,0x07b2069a5ae4cb94c14ba071c02b1455553136abc85fdbf98161366284758ce8,0,622,310,0,50000412,99999214,0.0000003099991
4E3Svrn1nwdqsQX5xqF6DyD5yGUBHUYKep4rjXWAecFW,0x07b2069a5ae4cb94c14ba071c02b1455553136abc85fdbf98161366284758ce8,351,0,0,699,50000633,99998777,0.00000034950037
p6evSrUiKCyjGaGogiSqpBxDrAqHgCPzwZv3z17gShJ,0xa6cc0205be51c1988d76e7a17dca58fff02a3a72878312edb0daeef20cd1f9df,0,861,429,0,50001951,99996141,0.00000042899592
J4HEu5c33sejCLqiNBPfLpPrXXmbUBGXBPyC252aNXNK,0x88e26b42b71f5801641045c69b0dda7d5b2f5b29d496aeefc9f52aa62b4bea63,0,762,379,0,50000352,99999319,0.0000003789989
37xUkFc5xrTxqYtCZkFMNqeMt9JW2EnnFXKhNDMXx4fU,0x88e26b42b71f5801641045c69b0dda7d5b2f5b29d496aeefc9f52aa62b4bea63,647,0,0,1290,50000329,99999358,0.00000064499915
J36FkSB5RZogSQLENiYAQey9MHGJEuhaNu5sBvJVMrRm,0x79dca6e7bafb9b49480b86e261d14a6e465818ac38fbc122cd7958a1bda2b0fe,708,0,0,1411,50002509,99995019,0.00000070550504
2auhBzZTL6cVg3yxLFc4joz1TKADv2B1DzziSQGkseyR,0x07b2069a5ae4cb94c14ba071c02b1455553136abc85fdbf98161366284758ce8,0,262,130,0,50000282,99999476,0.00000012999979
CVGUKTCvafbACt9RaY1caVDxbGCNJDnJVoxokJbNLDhE,0x79dca6e7bafb9b49480b86e261d14a6e465818ac38fbc122cd7958a1bda2b0fe,946,0,0,1886,50002970,99994107,0.00000094300754
