tx_hash,pool_id,amount_x_in,amount_y_in,amount_x_out,amount_y_out,reserve_x,reserve_y,slippage
6J7FrZhpkAVNGwKxs2T3knF3YNdvqzU9Bn8YFAK2TgPA,0xc62509cec19d065a23ec7db6f854c616ce2735beb034d96630332d665cfa52df,0,958,477,0,49999278,100001450,0.00000047700047
8WN3wbYxRVZMBJcW1rqtt6nTVWfu9B39yMzqf2yQFRcc,0xc62509cec19d065a23ec7db6f854c616ce2735beb034d96630332d665cfa52df,0,492,245,0,49999755,100000492,0.000000245
HZy7MFdmW7NCC2ba9vDGsZkeLJYwxxjcJJGCBvaRgVLX,0x5ed06fb87cb7dbd06459e4de1abcbfcb6f375d3a391260810d494ac74f3c24a8,518,0,0,1032,50000518,99998968,0.000000516
H5ZyxaJ6r3Pnsn1fpTY3gLnDufZSQS5q7P9C38Znvpab,0x5ed06fb87cb7dbd06459e4de1abcbfcb6f375d3a391260810d494ac74f3c24a8,0,646,322,0,50000368,99999278,0.00000032199912
5eN4r1HYYweNSEUZYrdkQ9kdD5WMJ13W4jiZnQ7EsMcn,0x5ed06fb87cb7dbd06459e4de1abcbfcb6f375d3a391260810d494ac74f3c24a8,0,223,111,0,50000257,99999501,0.000000110999835
2g3RNVeUdpbSeSDKoNXpr5RRGnRTFxv7zQYVp2Rnbvx1,0x00adba03340320ecdc1f4ba76c926f52e51d9015c69644a60e2fc10536e5746c,0,931,464,0,49999536,100000931,0.000000464
EjwENjU3FmPXU36LAZhpwY87N471mNUZBAk1hgwBbzms,0xa0dc201b3f1a292ace2dba67a100ec05b593af7daf0383efb71faf3d66bd2d35,0,369,183,0,49999451,100001105,0.00000018300027
6v93snZf7Q2MeBGaKfsVPn7HdCuaD3KUbS3cerh8YMx5,0xc62509cec19d065a23ec7db6f854c616ce2735beb034d96630332d665cfa52df,860,0,0,1714,49999787,100000442,0.00000085699634
CARuTAch8yDUVf2ig9ENi4sgqQgsx9n2PT7QHJm7divv,0x5ed06fb87cb7dbd06459e4de1abcbfcb6f375d3a391260810d494ac74f3c24a8,319,0,0,636,50000837,99998332,0.00000031800064
5TqinYicP6rjZjjW79JoC27P4Yn8APQjXqgPh9MpJ95g,0xa0dc201b3f1a292ace2dba67a100ec05b593af7daf0383efb71faf3d66bd2d35,792,0,0,1579,50000243,99999526,0.00000078949824
B9CUxu7q1zyCcrThSZQz4gkQqQSZHA8VYMtN4svpzXoF,0x5ed06fb87cb7dbd06459e4de1abcbfcb6f375d3a391260810d494ac74f3c24a8,548,0,0,1092,50000805,99998409,0.00000054600054
8MK46jzsWq2hFobbuMmWaWC82MrSZqgj5zXspCopEuD6,0x00adba03340320ecdc1f4ba76c926f52e51d9015c69644a60e2fc10536e5746c,510,0,0,1016,50000046,99999915,0.00000050799906
A1v93ZLoZDeRUmsfFX2YwgLBRafkECtLBF58cbPfqCaJ,0x00adba03340320ecdc1f4ba76c926f52e51d9015c69644a60e2fc10536e5746c,0,858,427,0,50000751,99998526,0.00000042699799
FQdxE8eUHAWLk8RHc7QgYy73Cp7CurVdWF1L3ontYFqj,0x5ed06fb87cb7dbd06459e4de1abcbfcb6f375d3a391260810d494ac74f3c24a8,0,892,444,0,50000393,99999224,0.00000044399852
BVaoaPktewgoJrYyAu2zdxeJvtkawndYbixeZbkyCTDA,0xc62509cec19d065a23ec7db6f854c616ce2735beb034d96630332d665cfa52df,0,706,351,0,49998927,100002156,0.000000351001
8VFJgHMKeqkmBFoe9NoeyRZnekDn8LJaYck7txpNcxqS,0x00adba03340320ecdc1f4ba76c926f52e51d9015c69644a60e2fc10536e5746c,860,0,0,1714,50000906,99998201,0.00000085700015
BHg6FQh6qzcvRNStnfEhZx3ybVicPLb2MDrUGxiYkRre,0xa0dc201b3f1a292ace2dba67a100ec05b593af7daf0383efb71faf3d66bd2d35,0,736,366,0,49999634,100000736,0.000000366
51SCWQiDNP4TfUXnm7gXrRzTHMrgbZMJUnMfte1XGCJg,0xc62509cec19d065a23ec7db6f854c616ce2735beb034d96630332d665cfa52df,0,671,334,0,50000282,99999465,0.0000003339992
HiEWXS97a6gKtFgc1HspwMpt9QNxQYseNFta3KgYA6Vr,0x00adba03340320ecdc1f4ba76c926f52e51d9015c69644a60e2fc10536e5746c,0,893,445,0,50001076,99997885,0.00000044499728
5tbebcSyT4cpvZC9bUtwBsUDdez2gwxRyzVGDc9vjNx5,0xa0dc201b3f1a292ace2dba67a100ec05b593af7daf0383efb71faf3d66bd2d35,999,0,0,1991,50002704,99994628,0.0000009955068
6AyTPaZgXD5d5yprVFt7qeV5Zprg3Pf4EAs46Frtacjz,0xa0dc201b3f1a292ace2dba67a100ec05b593af7daf0383efb71faf3d66bd2d35,694,0,0,1383,50000937,99998143,0.00000069150065
CZASgB3aN6tfnd1Ccm4REq6epMNoaZMTcPQHCs4nhKvU,0x00adba03340320ecdc1f4ba76c926f52e51d9015c69644a60e2fc10536e5746c,407,0,0,811,50001521,99996992,0.0000004055018
Gy6rX5PTG8wShsLHXKVF82MXFD8MopJNP4EnkH6idSEo,0xa0dc201b3f1a292ace2dba67a100ec05b593af7daf0383efb71faf3d66bd2d35,355,0,0,707,50001292,99997436,0.00000035350132
6qp4mcS4r1JgZvQe3kbkCs2nGfHBB52JQbXunvUwSJsp,0x00adba03340320ecdc1f4ba76c926f52e51d9015c69644a60e2fc10536e5746c,0,508,253,0,50000653,99998709,0.0000002529991
5HDR8MNbVdF3RBREafbRPUL7yvhDqBxfLtSaaEv8dZbL,0xc62509cec19d065a23ec7db6f854c616ce2735beb034d96630332d665cfa52df,998,0,0,1990,50001280,99997475,0.0000009950011
BFZtTvSZFnGzyLmHiiefEu4LvQvgujjF9nvJMi7HkP1E,0xa0dc201b3f1a292ace2dba67a100ec05b593af7daf0383efb71faf3d66bd2d35,0,208,103,0,50000903,99998218,0.000000102999586
4oDdt9h3yNCm3u9DQP2YrsHSKExMypnsr7KKLCvtrs1h,0xa0dc201b3f1a292ace2dba67a100ec05b593af7daf0383efb71faf3d66bd2d35,0,574,286,0,50001006,99998010,0.0000002859985
3E4b4urHii9YqzDwz625Kn75QiXBenhfQ2SiEsT7JX6p,0xa0dc201b3f1a292ace2dba67a100ec05b593af7daf0383efb71faf3d66bd2d35,0,646,322,0,50001683,99996678,0.00000032199742
