tx_hash,latency(ms)
H4j3CcxSSPJQTXtRUDwVQuiA7kTwxYu8bqbk462wFBfu,733
CNuGyEHwWWhfAoVkzD3tbv5H7wGuJWEwCZTeAnoh3kfP,745
m5z3mdFEX1kackSYcLaWNYT7tkE7nHRMhHhGyezvwSX,746
bqgJT9px6RSxufqZVyAbQGcCgUABxVAPy9YvV7b2KwB,746
4PMGwHfha1fgVX8EhMw4WmKR1J4eEc4YdmM24quzfWER,717
C4GL7txDUpoABLUdeJe5Kh9qzeNb8Q4M1zaMWNzwm2fq,730
EadrxALz2bMe8TumtsTHCLhAP1427ZnfkLWCSAzbZbEZ,748
5Y1Y9hJVVWLjLFtS3NgJA3GW7zsWEtwEetvoQWTHVenE,748
85Xx2SDjsji8Q1SWjdMg9L9Tx82AfuiQWjZDyqF7ZvEr,748
3vizvYkd6edXFgHh7Zp5wP8j3wviMgQ11unoG6QkRQqJ,748
A3Sp8egBiqWuiqbCjexwzxZUhCXNfxC8LRnABMCJMowU,748
7Ds1XJiT9E4YLog7BkqqAGpFiKHzdZikp3XHJuvVrWm3,748
DXE8AXDvRHoWvKGJhTcxRdfRk2LxvDJGXYWTHKS7cS9w,748
8aG4nvC229j18JZHKNJcq4K2iyuUs77RPoJUBT12HHsY,773
7kZwUinskECd6Hcik5ptM8V6bFhxdg9Qsfd2yqh17zup,1747
F5LGNwEFPSjoMypLPJScssgg2A7qYbqbLDmaBWMsiho2,1704
8HW9xBkDUPL4dh5yNg8wNjd5agxe52Qcvvb3NdUQXUTi,1700
AMZpbQourPQk9zht3GNQJkRTEmNvQa4GjZecWnMCk7RW,1756
E6NeTXV1Xv7fzJJs7cP4xoMVVccJzfpqDZ2dk5knaSH5,1729
BrCWD4tURzqwmm5mU3q99ZQRZZYxJccgijmmyarhRaRs,1676
8ZcKqaYHChXpkiyWyWTC26YNXjRBAB95QBPZgWmb6Krh,2344
7Sc3LEVBJfeFQNszEeUS6sTtxvSZugXgs4eXn5PTbKBW,2155
EvcmPY3jPtBiUhgHfQtA2PX1i3vmSNqCeC6WjLa9VYkf,2288
FxyzQD99emBJSDppqTG13mvgRnFTKjPLXDsDGKdniWuY,2381
BG4LGpwHooweZVhwHEJda82K7rg1poGJkBK3n6F7dQ9m,2297
5yYU1YT1TH8G4j5FSMnaZZfhjLJA2tv4tFEuXvpmzrXq,2286
BpzL58UmSYZgM3WKAEhm2ZiSSTGU8mpVeoUXtUSrkzqc,2346
Ff15LiNaSbKPE1nPCY2SaYUYeQovBViLnQB6UoUP4HS9,2347
5RXWKFN5AmVeHnRMQzYu5h9sTNakNzuLZqCRzz3r5pk7,2296
DdK2fAmkALycsiocL1UAYu999tU7Dv6MAUUoev8m4HJA,2348
bF6L87TTdPtAB7H3ZU7q4dXft77LSqdYCAYKsXyeUFz,2177
7pd1kHNteozCQyyvCtRAHcA5SFMcKYEwn1ydC6Jx5FT8,2363
