tx_hash,pool_id,amount_x_in,amount_y_in,amount_x_out,amount_y_out,reserve_x,reserve_y,slippage
CjnS2tL8HLpCzd3D4Zpsb9wm1ekPhtZv2udKHsxMRxj3,0xea8de514b2c5d5c2d480ea7ac84c8de2c9e0817e7fb06faab83d57a168d2a61a,0,322,160,0,49999840,100000322,0.00000016
EZ3bEQpxJAPj799zPUY92RkVPKGeNfVBqATznkXUMKXM,0xf7be8df39ac59413cff02f74335028f6d78362aa5b4351dde2a9dd30ce0c307b,995,0,0,1983,50002917,99994189,0.0000009915076
3S66staHdeLDoEwbYzxGpSAvpeB3RQDuEf7THVsmuaWG,0xf7be8df39ac59413cff02f74335028f6d78362aa5b4351dde2a9dd30ce0c307b,964,0,0,1922,50001440,99997133,0.0000009610019
8j2eE7nZ2Lq4UhGFHNY3iCqDpg2WGikR13DcVHw6V7XK,0x97dfa21e7e1197ea62007f556124f760ee3822b9b948a9686f263194a5df6c2d,576,0,0,1148,49999943,100000135,0.00000057399853
XruVzFkGHsyfvwsYA2bwJzVHYLcWeKJeXNZhvoQWX7V,0x97dfa21e7e1197ea62007f556124f760ee3822b9b948a9686f263194a5df6c2d,269,0,0,536,49999738,100000537,0.0000002679994
8o1GhgqfDaVp7JAhZExvkqCcPYcaSdF43W36KmhzAz6N,0xea8de514b2c5d5c2d480ea7ac84c8de2c9e0817e7fb06faab83d57a168d2a61a,0,736,366,0,49997983,100004058,0.0000003660024
CGcveNCDqNhqUgncYvuwLsScfLEAKVQqJuZtvMMTWKer,0xecf8c95e59648722d15ed4f5201f6677d65c430a18bc84cdb590d6e05816e5cb,0,252,125,0,50001493,99997036,0.00000012499919
EsXFFj7FbqQVY9CX9QzW23LCd6z9NjhXeBdng43CjWF6,0xea8de514b2c5d5c2d480ea7ac84c8de2c9e0817e7fb06faab83d57a168d2a61a,0,205,102,0,49999372,100001263,0.000000102000214
FUwg6eFEFH3zcU81ALY4KSNWAaf9FFCQYvRUixu76aCT,0x97dfa21e7e1197ea62007f556124f760ee3822b9b948a9686f263194a5df6c2d,0,746,371,0,49999367,100001283,0.00000037100037
6tmk5TkXdzd39sinEnR4jSDBnLK6TjxuPpkNQAXVQb7D,0xecf8c95e59648722d15ed4f5201f6677d65c430a18bc84cdb590d6e05816e5cb,0,697,347,0,50001327,99997360,0.00000034699767
772WWGd1zSNbjttM2rEZdbtcW52Qj6V6XEz5yjvoD5EE,0xf7be8df39ac59413cff02f74335028f6d78362aa5b4351dde2a9dd30ce0c307b,699,0,0,1393,50000699,99998607,0.0000006965
7LDwvJmkZXxdwxiqJVXbPw5ukzqsxMw4uV2cLRE2QF8j,0xf7be8df39ac59413cff02f74335028f6d78362aa5b4351dde2a9dd30ce0c307b,0,743,370,0,50002801,99994431,0.00000036999532
HAtsKx31BZNqgQNJayaaoEnSYaQ6vUyvkSBN3yx8istm,0xea8de514b2c5d5c2d480ea7ac84c8de2c9e0817e7fb06faab83d57a168d2a61a,753,0,0,1501,49998513,100003005,0.0000007504932
BdgDc4PB1P8EF6Np4f1dZcmqHmYNTBNmC7RWfu6XPazC,0x97dfa21e7e1197ea62007f556124f760ee3822b9b948a9686f263194a5df6c2d,0,816,406,0,49999111,100001786,0.00000040600077
52MN8F7LVRnfHoYpLiPQSePT8P72G38v5qT21f1wMEE,0xea8de514b2c5d5c2d480ea7ac84c8de2c9e0817e7fb06faab83d57a168d2a61a,322,0,0,642,49999301,100001411,0.00000032099868
554cxPHZzt9f2nBL3TtvWpEcYdeBCwy99rNGRYK7vCnW,0xea8de514b2c5d5c2d480ea7ac84c8de2c9e0817e7fb06faab83d57a168d2a61a,0,864,430,0,49998580,100002878,0.0000004300017
H6DShFLbdsyzNUbWuHDGXt6pA2xSerMLusk9FJB17Jj6,0xea8de514b2c5d5c2d480ea7ac84c8de2c9e0817e7fb06faab83d57a168d2a61a,0,971,484,0,49998349,100003322,0.00000048400227
5v92JNGnZ2KEm5G7C77MDyXEJ8kdQVwkK9cF4RZHsLq8,0xf7be8df39ac59413cff02f74335028f6d78362aa5b4351dde2a9dd30ce0c307b,0,973,485,0,50003662,99992721,0.000000484992
4FK5cv1NdED9meb5jzfgM8PFCxY4qVisDVBQCK9aRDTX,0xea8de514b2c5d5c2d480ea7ac84c8de2c9e0817e7fb06faab83d57a168d2a61a,497,0,0,991,49999010,100002014,0.00000049549703
