tx_hash,latency(ms)
AAS5h83qAhPBuoagUZXrkiuoEjLPwcvLApAkUkdtcNNN,1126
67aRGMTbNittEtBMArtDA9uPyx2cujeYyVtBAzm1r6iP,1126
F5BBSfN373wkeeDw1bXiccqfVoUbPuZUM7yXWMumCcdD,1128
969CyojwzZgnB3fTDoK1PnZV1Gp9CpMidS3wJDy1PtnM,1127
5CKho3hN1MPmFp1J7gfXSw3ahFLqPmz1K4xh32Ts1oFg,1106
BFsQbZ8kGKNpqMQCCPRRqosZpKSAAAfJ42na3d6ikCpL,1132
BvSBcWwaAv6LAGiRitrX6t1x84cVjf5cjRNZvnqSyqEo,1132
9rwfcGGCAYTyQ2bbRFaebyfsAU3iYaAvfdskH7YpV5BK,1132
AkzjGFGGpjykcFbxHKp3mzQToExVrVmcgg5KkNLvM4SA,1133
HRcZ3q8rMK49eSCFCMa1pNg1ESQ5tpguq2SZD1DJ52Mz,1133
D13Xi9NRuS3CfsPaVq65yU7B4HRGZkcExUmmFqUguYj6,1133
8AGTVa2vdc1PVi7iJmi3dByVKnjnrhBjLtnxE5rzTVkb,1134
BHTZJrMEe5Md7nwVHXNExUwwoNTbLjsyUbhjEyTnC4Wn,1134
DNprLs6WFyxB5MTAGe3iv4BcEtZcXz3r4HP7id7K6Eb2,1141
AShuWpvgCvVkqNXuVe6mkCaLLVupo16UuwJ8ta4pDP1C,1142
56m3p1cBzNUfurDEHE1qgNV83RMpuYwqhi57wvoJoLgn,1142
FUDeZBgXzGVR95pHng28E6GKm8AfyhwYnttNgDqSVRoj,1138
2c2uYBHAcbA2ZCkU1mCiVF4vcXwpMqQsNzBGYhQxhGsb,1142
3jLa8dZBwSizwtw4TvPYd5sUotM1v58FjV4MpfeTWqoJ,1142
CD2LQopxsMa8kQuHdzaQa5MtyCQLezkTNGEdeer59LuN,1143
6EKf9gG5CYZFqf4MifKLyeJ3GGtAU9yPT7qe1byi7sUo,1143
Ay1jFnm7hFcyr8paSkwNSjisyxdv8HJEcGR6KwEa6Wjd,1142
3oKqnUtpZSYQgAtodKUFiSfLCYWbVjFrouWXqCKp92RQ,1143
3yLBBSbnGvwUgzB7fCRZsWneXut7UwtUpBifC7EVGEsh,1144
F9q1DkJ1nmeT6ziZuiMLPRycoyUPhd42er1e4ipiDaM6,1144
Dh8yiW2sjhPJw4dyf9CnkQnTMWe2LmicJewZbS9qttCB,1144
FFeqmwzwNiJL9Qg6CA1xDgdH17afG2fuCwRZDhz7cPE4,1144
85boeqcNdiGWCc49um2W8pvynWszKS1cMRky5YrdP57d,1127
6wmJrDvDc88PsNJGNVWM3Gvff4r3ZYWfNCyxJu1nMFFN,1146
HA99JifumpJqh3LsFFJVz2bAvHTcMi399mVfbXb1y17A,1146
8HCWjVdCJqmrCWcksvgtpFmMAqFQ7PCveoPBDkxR3Jxw,1165
BtUFsz8pMxmuKv5yuWTBeho1f3rB5cWKmQmPSwBfpBu5,1165
2p1UKN7mXr3LeLtECoBcn48vp65D8F6TfvAkDguwegWX,1172
BMXKdKVhgjvJHimhtHrYCPfdvfWuRNWREEVe6Nz8yZKQ,1171
379kzHTChHRusMMi8BoiFET5hersZaZvtZgpSiQdDMqf,1172
3Gj4xBGErbw26UXgUN9SphoGhifj45UvQAXmuuy5RCQ3,1166
7r5Ndd3rZtHqML4qM945JYXpJs67oVwyndDeq1ghK75g,1172
HzsEVA1J4jEWL4rhvfRw9tkUDx6p8s7P3CJgwubr12WF,1171
