tx_hash,latency(ms)
6J7FrZhpkAVNGwKxs2T3knF3YNdvqzU9Bn8YFAK2TgPA,482
8WN3wbYxRVZMBJcW1rqtt6nTVWfu9B39yMzqf2yQFRcc,498
HZy7MFdmW7NCC2ba9vDGsZkeLJYwxxjcJJGCBvaRgVLX,497
H5ZyxaJ6r3Pnsn1fpTY3gLnDufZSQS5q7P9C38Znvpab,525
5eN4r1HYYweNSEUZYrdkQ9kdD5WMJ13W4jiZnQ7EsMcn,525
2g3RNVeUdpbSeSDKoNXpr5RRGnRTFxv7zQYVp2Rnbvx1,536
EjwENjU3FmPXU36LAZhpwY87N471mNUZBAk1hgwBbzms,538
6v93snZf7Q2MeBGaKfsVPn7HdCuaD3KUbS3cerh8YMx5,538
CARuTAch8yDUVf2ig9ENi4sgqQgsx9n2PT7QHJm7divv,544
5TqinYicP6rjZjjW79JoC27P4Yn8APQjXqgPh9MpJ95g,544
B9CUxu7q1zyCcrThSZQz4gkQqQSZHA8VYMtN4svpzXoF,544
8MK46jzsWq2hFobbuMmWaWC82MrSZqgj5zXspCopEuD6,544
A1v93ZLoZDeRUmsfFX2YwgLBRafkECtLBF58cbPfqCaJ,548
FQdxE8eUHAWLk8RHc7QgYy73Cp7CurVdWF1L3ontYFqj,548
BVaoaPktewgoJrYyAu2zdxeJvtkawndYbixeZbkyCTDA,549
8VFJgHMKeqkmBFoe9NoeyRZnekDn8LJaYck7txpNcxqS,555
BHg6FQh6qzcvRNStnfEhZx3ybVicPLb2MDrUGxiYkRre,555
51SCWQiDNP4TfUXnm7gXrRzTHMrgbZMJUnMfte1XGCJg,588
HiEWXS97a6gKtFgc1HspwMpt9QNxQYseNFta3KgYA6Vr,590
5tbebcSyT4cpvZC9bUtwBsUDdez2gwxRyzVGDc9vjNx5,590
6AyTPaZgXD5d5yprVFt7qeV5Zprg3Pf4EAs46Frtacjz,590
CZASgB3aN6tfnd1Ccm4REq6epMNoaZMTcPQHCs4nhKvU,591
Gy6rX5PTG8wShsLHXKVF82MXFD8MopJNP4EnkH6idSEo,592
6qp4mcS4r1JgZvQe3kbkCs2nGfHBB52JQbXunvUwSJsp,604
5HDR8MNbVdF3RBREafbRPUL7yvhDqBxfLtSaaEv8dZbL,604
BFZtTvSZFnGzyLmHiiefEu4LvQvgujjF9nvJMi7HkP1E,606
4oDdt9h3yNCm3u9DQP2YrsHSKExMypnsr7KKLCvtrs1h,607
3E4b4urHii9YqzDwz625Kn75QiXBenhfQ2SiEsT7JX6p,608
Ww3Ug1Q3iA16wzQSzygveH8WMJyuBdUWoeVYaLdLxmE,608
DHLkh2MyPBjeyG24LVfiRdr8RNw5mzxKiGBH6dW47Qzu,609
GcT1nP2PvakuigKM9v7SPeUCWydRznNA2xVjnUYCuPTs,609
Fu45Gs8k72gwFfQqZi2BHYzPkCP438DKeE7TbJZauriN,611
3mfDVrJpBTP3HZjmcttMgkV5Hzg5RhPDvxCSoSd7Hs8q,611
Bn8nFLXTuNy2Tfdh7LVQ85X4orbL2gx7qucbRWRr8dnq,630
AoV6NxR6yhoD2tBo9Kv8ZKbCzhfoFhhgQMh8EwTFseze,636
2RY3mgBa71f2VFwVae2PZg4KLCF2yUSc1BAueaWHkDCw,643
3sZL1NphgTGTXvCAwUzwqkMw8owQ8uHT76HgGMbJPiJu,644
9nZJX1MT7iCxppxv1S4EQT4KgqmtRBewfRdgmEGZE3Ky,644
GLAnMZYeKeH7cr1stKxv2v1yY8f7XJzyBYb8CbHYSGqN,644
EXB1ei5jMwtpyXoc9z4Ey7XxgxBVWvYsHnNbWBm8tdBJ,643
6jaH3GEJnqV97j4tzZZy9djdE6jVJ98WqC8YDbgLdbYQ,644
CHDuwoKU4ePUsEMT9mb1XuBjYjj7W1XQE7kNRourzNwN,644
DJVSCpsJGcc8SKfZcbX2LNEefGFqAPALVwN2qPskcdcm,929
5yDiPNNdaoMW6LBQHUW9nfaDaL3XUwCPDfyvxoJikgca,979
49fGrySJKiyW6EZ8Q7QWMZ9h9thaqmzmTQSBrXHGL6Sn,1089
Fx8T1hDB7YLFtaKuQeNWNb2cMZH1sjMo1VdUAnFHwnp4,995
1LXNPbuFVozgNE14M4jZbKpaGsWubbP7PdFwXSnBmZY,1002
DjoTPg6RGu5rDUFZyUNzatDunDrRnRb69bEHk2kX3yb6,1014
72YEEKiD2XFkmoPwHGft2CEfZQRifSNL6NTQmwdoQSdg,1008
G7sgZv2LMSi4uoBhFaQcXQ3rSEnpXQkGQvFgCDRynHqV,1019
6BunktvbgMsBGULk6c25o6PZePfkKZR1WTngnpUTJzsd,1027
3BmtRBjZFUiSv5pvuaLnKbcX1LhF4KbHvFT39qwP2pfQ,1109
