tx_hash,latency(ms)
5tvP48TMVjNHm2NHMeBLusr7MyCVdVe1y8Bz2YPfewmC,430
9F5RjpJWdCvQ9j6emJ86LdSNktyD87dDJijkWyrmrNQz,445
5GaxrYJ3SYYPyHRVQmU6bZfMFVQi6xe4CT5qNYgn6zyZ,428
DophT3QWrQqpMP2RyiBtfmRBqi186kM7sHtsFNT8XrGg,422
3SYAXXiUr83oBJkpVRM9GjSG2oneX71ofvd6V3FfJZHX,433
6g7U4Kqjv2nKVpJk6cdYE98bFKkhoFJ7onpBToY4t7UD,429
EsDD1KRwpsQoJQutFZEnQW8XTW692DWEVgvvnrXeXBFB,433
3qnrJmM8X1LPJiY3hqkMU5Kybx8XsgqfZZU2yd2Juwf5,434
6KJHSTsMq9gugRELn95nfCNYSsnNd5F3uNYk8A5QmGLY,425
3VqWLRnBdSper32KdrnsVS1RJwg1SQ4xQmsR2WEhRy4J,437
8qzAqSNjwktyFr3EkWJU11tDANEgqMavpDbneJGCB9QF,430
6Y1vtNi5uPdy8GVTchgKUnGuHBkG2BmM2F1ytQtEvxfu,429
CnJJxJfzQYyC43EYa5YPoA9Zea54NHvEBwH3CWgixXGi,430
7QFUCwPRMYEN3D6QHTWdJbgAAQd8PaZkmyY3fBKkTfA8,440
5tMXA7C1qscGFtAXPakTs35EwfQ581A7hEdM9qVXEC7y,438
2Ygn2oknn3NHujDm3mU7u595XMDWjawkb9LvLEsvayap,428
BvxhWySaqVrji825sy57us4juYJz62h5j2qGXBmkE8KD,434
7MchxeMBQHVLU5XT32TgDKLHp6FSFgfJFjzn5dRZAXLj,424
24qzQmMUL7CPoPZ2EsTmYiMCgDMwUsewKRAXku1QYPXC,432
4YZVYVcnn6VGFzJwBMzf4WJqzDSvFCXGedgSKSW2SJAf,426
CoC9KAGkqxtc8ejTzBDEkDwSMAJm5E1j93kSCNG8qrKR,434
5NJhahctGGDGnVZULo2YwV2iRohxiAxvsmFbWB4WXcKR,441
5KVL4NpLTw1D5CQ6EhvaCmoStoq7rZFHEg5Wda6DkY6k,427
Gw5f11VUNaVQUZWDiPGn4spjY2Ky2FGymy4XomfQML5F,439
CtgPQNxgvGR8pZfqHRG4F9sgvCYsXF1NjFkUpxhrjWPS,442
4CMWcZw9NRgHag8GvvnaeZ4TdGs94c5sGHXwDVKoWeQ2,429
G8VawjiLZQP6P4NwryB9bW2FDBauiuBC36vtqJAvnZwY,441
3zxGUvkkUdpwrFfCuD7sRQ6dkxrimUcyfGDnAMbXv3xU,431
Gmn6FweReDgCgcTxTD31nzCV56C4PftK2m4Mswa9q2UC,439
6eoUVZTpiuLDQinAdzZ1pJYwThLxFKsCdtibyvqXYnv7,444
H127hES4JA5axoFrNMnV9gTpaj2g1fQdNBjes7bJLzSV,442
35ECYQiJniA3v9DB8Aw6oMyeipt5xi3j6GtvGMmhrZ4b,425
7So2mifQr3omq3x3xXq9ganbzRmKxguoqDu6k1HgY8D1,443
BRDHreFB4c52kEJhdcCGeLMyBq6f5p5oXibSYv6sAQHW,427
7ehHi92mRRb1ePKXWuSTq3Vy7kMaNk72ae3RMjxeLKr8,425
28NmD9xsJN6x5d26d86wjAMZrpkXGrBjFsBqKt4PRqJL,428
7UFeEeA7AWWsLZ7zavrxTpc4pPt9QAnQFQ38p1i7Nn1m,428
4vagzCmHPynFZpGdWAwZDeeg1DjM4jPagB5oafyQFKw1,447
Gnbv3xc1kJ37GhSCddzD9oRyd38iU3mkVgaS7d4GvnAe,435
2Ur3FxwEhcziDEnJg33gue4U6NfYLQ9BsJrLnN69kyXn,437
4WQpSjYsVdhvZjMueCr7SxTvTWb16BxAqGrTCy69Yrta,440
C4DTCN6Ev5HinniLXBwH5apd2AE5E6HGZZMBx6DTyVzg,404
2bGMBySonnYWqAupakNy8QuwqtSRyPCb7vc73dHKQov1,439
AnRFWR1JNbgTmH6yB1241p9nzwyw7dCfLRVeW2eYgdKm,428
DoSEcUfJAXWHZmLTtngmNzWL4LA2RRLQaUqQ3f8dx9qD,436
46dbvMasD5AijjWmFLdRq3m9716sCgRfgzBArN4LfbiL,431
J4VRj2j6nqJE5g7FofDAfKPfoSMLQZK5c4o6usVHNcT8,426
GmjBJSfj1Y5N7YJmMg8zRSjiHXbP5NWSkMykDSRkcPrd,442
5iwaLG2XnPSrNLxvKfJftxvdo3Lc3n5puY5g1uEh3u8N,431
AhEQFsfp4aq5sAheDHvrZwAmQsVibzJvp7BcyeGxzyst,422
HNpVGBQNfZVJT4EbTQvtygmJD2JacLZj8jaT2Cx8sBzq,431
DU1XD85wAtkvtVECwUT7FVNnJbJJnBSsixQukzXtyyZE,423
4zdHP6baM8KLA9yZnjUoTtkBua62EvzsypT4y6CY9rxM,439
GHfagh4k3QG48AMUScsiBD8kr3DGKjyKe1PeB4vsmvGT,406
Bc5FH8Vfw9SKpSgeL9gfbJkN442sqnpczgux2nXNkixu,428
CbgkJGw5Gu8cPL1xDpM83znkSjySqaAyX2ApJWyY2oWn,449
3583sWacDVwKNJkroRdPcSLVi9tZRmzqAhP6tsfYNDA7,425
49CYvS8KMDg4UAuqQ4wzUs98ATdtRy4EHeP7wdV2rJSo,426
56KMfxfupwt8G9a3UgW8UkHKy1kQ612otj47AJHDfLfd,397
HLWTd7ncdzg2WfTopBHjWQsNotsM8wxzPmYFhea1QUHm,449
CZEBWRcbmc35BJa2Qtk8SEMwQvq4F4tviXiSVdboTvX7,415
Ax2uzbzJmZdi1BmbhJcuYBeeMRciQxMMbT1NhwSy4wGv,426
2SSZkgUfWs7fAhoY75MJTYq8YrESSxAoNwxaRqr9mJWw,422
nZFQegeKujFeYk2CCoVFNH2jcCzpY7nso1644T4H8XK,398
7fTeuQ4myqHVBtR4qJKUyTeu2eFfDd16pNNoBPAAFu1D,422
54cSW96YF8SPY3H8X3z36YEQeZhDCuTVmNmWDsSRWgEt,409
4JNFWS3CxMHabEMydGiydupbHWpAvtbcQiF1JJ3fzAYW,414
EraL18vRo9zBQUUCSb5XE7SvNXkBHRm6zpgWm2GxtTy,401
JCYVqFYLbwnBCVpT2ZaBYrDwB5a1bBfE7YjkrfJBAf8D,410
LemtU7VP1MmxFnEzJnWc8KU2Za8YqNoRFN9TiFdkjcP,420
8aTheDfgD8khxE3kNrBejLVWTCjSDisHCpVMaspy365C,415
J9rBErvJKrvcQ1sZwovqkWMYvCSvfDYHGan7YfXxjHuz,421
Bbx8VfP19ctuR1SmW3jJ1ViCzqdFXKCYM3BV5o3ia76W,421
4htiwsjQESJjbEaep4v5eutHoJ5BfJUGGYrwdQXPqbYt,421
23TQVChWBied4PJLsFVoorcaafTQ4Pmb8VNAjVWK6Gvs,419
G7XrMZ3BSqUQPLe9AwRzW1ydC2FRtFCDgoX58B1338ee,404
2NkfVKmSQxPV2KAUFJ3PRM6JYng2sv6TvmGWPHZZwav4,405
HcwHrzXXaSeym6NGtGwWyLpnWapru4eTCWyTZeUXZ9vy,404
DYjPAV6npHn17ntY8mbEPTArV42js5JRiC5EHogqJfgw,407
9yEhwtfixXzhPiiSch8KB8GjpKfD4sbKBHiWWKtoc1MU,413
9Em8L6AdiHuPhx5cHfBJAMNo9nAGJpc1sWo7Azo2g3x8,418
Hd72fho1caJGbjs6tSGCatuVcqTydGrTwzqPySPbxrwe,412
EtTXspqC6W2aUYTrR53mErfU6B8BjxSb2vLQfySgYrBp,415
3H1vMJjUJy8YvXFnHWU1RGcZDc9M4LHDk4dodgbYjqDv,425
GtJ89EVx8t3NAaWN1s5D7m7g2ccqmR7eQ1SCHUFFbQna,428
514nz8C3uvTan5R6ZPfnkPZiiHKvtNXv6R6iBtcaNhng,407
43PduhVR77xEwLJBzeJcdR49zjWpTXPdWiFjxRkSCmkx,426
3EXBoS46Dra8xEfZuQTJfjb6dNe6U6UgAghxatHzPpqG,413
FMZdfScN2j8jP1xFVD5jXE6PBdhNHtAooSvhhBAYpdjx,407
76WGcsxvh8cCq2ru9Zhrnucrq6hm79Bouy2yHuG6iPmU,424
9kaUgSTHtrbSQKoPzFTpmKcAGq4wrJYrxWSBDmcihrPC,423
Ghz5WVQjnng5t9TEk8e2bkS8m6SaDNF918SgAcZojzx8,429
ETtEihXUEZSexsLwJQaUGF7LHCphrz5Co2rKzAmBw43X,426
5cWqUqgnNtt6rmtLadFq3ZyG91rrKGp32DFqH5pS8RLh,424
DsXSRsSo89eXTVvHUxBLEgYiPKTSxsVFH8oDH5GWT6aM,419
ztmvjUw4JWMoPjeWZ8uEqN6sGaSffqdCkVfmBCD3WtW,430
HAgwq56aZ9r2WgrdvDeUhqFM85osiSShZecUaAFSq499,408
7oNWdxcx8UmyN5exQuEu5PnTGsBzf9PCx1Ai834D8fU5,427
BH4a7rFfUToST4Mr3GxARR1zvqqJcvmYX3BjQjy4EWU5,426
acNEpvyffCD1tbUTF8MjvkCHyf4bNSwsGCxLS9PCXvq,427
G71toZoU9pZFqnvJMr9jMZiyx7HdzSaj36PqZ6Nujbza,423
7QfC4zRYziB9euAJ96cz51GszQVj5gmBpqyzua14fEFJ,415
J1zT2qg3NTx3jhvu6hEEuioQ4Hz1rdiocqLCegw8TDbq,412
B1sxFiKCcU78Varbyg9DKfnMydG618rrbZy8ZgdaaKRY,428
2SqQmF94fUhtYh4d5zffaGGx6aVd7seWi4GjnfgDdsRJ,421
44wkZ5s3AP7S9eGnefg3nYofCnVRX3H7oWCfDdoDdcvZ,419
FRYEYzymPDUhRiyoQzHqg8vf7W7YoRGpNa1Q3NMNrL7C,394
9GuYDwzQhcgesRjfJHQyFhf4bQaJGwbdfM1b26RXXQ5C,392
9uVGbcUdGo7Dhnj9aVi49nm3dVQ6zfsccfMebXzaqMRV,414
8MrYLReVHGdrHXtMc7igC2pMyqGdN4LSzedhVNoRc2Wj,414
5Gzgtcd6zH22MDqxHXJLMNPXwoag6XLzPKZdAt3Tw6jY,410
92Bb9pd7ZNNKZNEb4hYXGoQW32cJ6UD16QjapjSBZu1V,395
mVavZzQj7m3Bxq1sYkqFV4LMyt3HeU9DZXg2g4TWNe3,423
CJ1oFipV4buvwRvjnWNRQsoJRwjDApWwdC5UNdTQkFMf,400
EUezbAb8DNixMKeuRrf5CYyLnS1HJ4v58HpM9gbkRYwF,421
9Yd2Z7xpEgnnVV2LFpPLqxRPr64dyJZ2F1JRReXTXRGz,394
64v3N7FW2EsC24emdKrJNAiDAKeZzjMHHtcuodsgsaCf,396
Bgc3KKE5mDM3EsMyMxZqs3vfq1ZSr9z8zVRTqTuah8tK,401
9QvWJcGBLdmLPovmPTZEgRGwksGrkA6VL4fVuAuE5ncq,395
5BZjDBCCkL6ZNsiA5trQHEH883LAtYuUVbtsraBG8pP9,411
4uCdjE7r6JACUvmo4BnTYAim4DYwEcpA9Jnnc2UhWRd8,403
F7Zn54qFPPSUw6jXfTQZbEa5icPQHmtvozEvTJZJoKmo,396
F7eJFmv7xmhjsyYxeXat4uujWvyacpnx271eW1XUbzC4,417
BMFyuQvV7pVHM2fSEf9QQwRFuRuMWQ7J6jiV6TswTwcy,414
DcheGQ7nafwqGXoBoSprUEAjFnbktXJrCyE9W5s4xhnB,404
HGudTGvkSMFfYPJmX4yzNXcibhEBXaE2Hx9CorF6Pbnt,405
FE17oiZatZHPs2v6AfACTHBLAzucjBBDomNH32XZJd5E,400
5YxJgNeBaKM4WVB7LZYnzCtnGhEhUTrjJd3FDRKpz5wT,420
