tx_hash,latency(ms)
HWAcnv3CcPZTbyFGQeA4UjjMqaXpMy1qvnEzn1vDqbKT,436
FU81mv3pbnfpnGfxzghKfaUMxyNYZY5z9SveYvbum56r,465
BrFnMqbBuW1saVM1qCTr5wnGNPFaDiA9XBZixNNZzU62,465
CpyazdcpXarGar9KwJ6niZxVxvNpcBvACS1R32Rvniat,465
3Yau1fMmVFCQKYFqjLt6jewjTXzAAfTHfvL7rN9eJsz9,469
3tS3GAhiMF67TRyWBKGiDo7oc595UgkEBzXbH6tJkiQV,556
7Zbyv7uRje961dQjos1YDZzjM2LV2UqocXjKAscnn4Fw,2525
BUCJHPukXBzjvt5uGXqFX58LcLE8hWedAbgdyYzYMDbp,2542
9ys2QQLA1mTHR8dqdfgCRQyoJvNMufMQWmnorpE9aQp3,2547
3y2rvBG6pDECzLDXGgHgTVQW1vfyGrYfiU5VxtBRkebU,2563
D3dqFDz8B8g1JgXtapNQVN75rSZYY381bjMnF3WaJ7GQ,2566
9Pw4uGmhfdeAMzLXagg77UfueS3pF1AcBy4KYoEYJ976,2566
CGv86XnrKCG8WeSb8uGEVVmBFx6jK4JCPp8H9dg9QuRm,2567
478LXgYg7pVr6ZgwLVbKGS3xs9m3yPPeSx9G8j6eVZNZ,2567
HAo4qwtkRKx1YAUSzWkWJ6qxf4NDDGLiqyvBwqUXG9WQ,2567
4WcH4S6txbFaqo1DFPBsnj5hAp4jEFp5upgFvdyXaMP1,2530
D5q5iSfuY4Rym1kLMSXFqPYxfVTtigcpKa9bP4g7r6nR,2573
7A3gYQZCt6G6Tsumac6PsQTRLSUcfonYd9j1KEthRBHo,2584
HSFiSAeX7b4vuhbB2qC5VEtRZ6mhvTwVChnnpL5XcMNw,2592
ChMMj6qRXo3geXpB8JpAXntsSnDDcwXrp2xzw6NWwZj5,2636
AQ8KpxhFcKfYiUVr8W6KWM9gfu8p5CSHnjxrUBJpYir5,2636
GFXriYYN4KVXGBwFC9XKWnwq9kmcpaFQj12eGbehkNCJ,2637
A9UqZnXMxsy9dNVbkX5XPVSe6TVso3GLVh9km6iqay2j,2648
2dFNPkzMuLSJKp3R4CnLxgdJB2gnMc2JBq3rZvNRHV3f,2648
EbRgVNrYUM4aFQsEn9o8AjntQfhbLfxz61hYuNcCiBoN,2649
6FHmpoh9mWaQsZmwFs9nK7Q97Bqz9H8yv9G7J6VmmWYi,2649
FZ4ptbikBZPRitvS72pqtKxuq7sSGGwV4wCZq3VCuyLe,2649
2ujjhE9KAG7c5n1LeggVHhRyB1i3MVok1MYrmhasYBF7,2649
4T9rsFJaoKSHhnTNSmvYy61mVKU44AzySkrrw3ontyqn,2614
DyT9nDthEEauodRTzt3kwFBF9fSPFrZDugcv42355nBX,2649
BmpbPou5TTUn3zrxDiRfBjfhDDcpYY13w2fHmj4pwucR,2649
psysFrt6gX7UDqGtsepodoRUmX68LvQPKygD8j5mN3N,2649
3CxrdK22a1HfLQ4vnsYVSYS5XZvFTouvwFnZasHNYpoE,2649
4QYTsF3JhD2FMKgE9HTTx3FYRhJQYcF5nqsjv7bYbJxk,2650
26GThhJfVh7fLuTXFLfvLteGdAzjcoZjmXFqtwNhKxPn,2650
GcMhHgK5p4udT7kh7ky7AoN99VaWQ1tW4JJWXLrAFHLx,2650
B8XdYVmvsX9MJxZU9pd5khHtJBFjNkMjBVtCH7vsgT6R,2620
CWAiDrBeuJ4i3uEWqiLLT1Wz847k2Y3nicrTURhzC1E,2650
HbCXcP8ah13BJLpr4vqRX4ichmfTymnen6PhkvMn5exk,2650
3X3mLjPCAMGJth6EcRJ4ks57G9StxameAMKoRgUqAuAR,2614
Fr5sis7PayZuNqpR4pKNxsY6feDzgHrPd95wdF9GTb7r,2651
4Wkmsr9ATBSGdDWVNdfrsguyAtbhcfHTKGLrZHJ9ZXuw,2652
dGosc8domNeph2hEqFEfDAr7WTWRH9NEFdwCLnQcsyE,2656
6C7FKSGvMV5utwYpFEqtvCPHzJVznqyTx7EA9aWKFYN7,2666
5RyiJ6xUc1aAdrdQKX1wQkJayagq9Z2aZXiVqCYQ9cft,2669
