tx_hash,pool_id,amount_x_in,amount_y_in,amount_x_out,amount_y_out,reserve_x,reserve_y,slippage
5Vw1E4XVjo3KLWGxuSKDxs7scnKtLyeCp2UmK4kpQjGz,0xc65774357293f4b4837b43c58cac76cb0d84af28b85e04cdd37747cf699b03a2,713,0,0,1421,50004640,99990809,0.0000007105111
2NEKuEtKwjc2XYq56fufQbKG6CiB4qbnprZ52FdhSFkk,0xc65774357293f4b4837b43c58cac76cb0d84af28b85e04cdd37747cf699b03a2,972,0,0,1938,50003572,99992926,0.0000009690099
G63NwdBEu2nMhtG2PXCh1Mp7V3JtmV6e9ukaisuYv1Qc,0x6cfe43914a765c02647f989e4149a46506a60ea0ac51e6d2f6f6dad0dd9efb72,453,0,0,903,50002422,99995225,0.0000004515035
8jki1NUgpYDrVHkoG3aUYqUnvAjx9pMpr68uXxE8L9up,0x6cfe43914a765c02647f989e4149a46506a60ea0ac51e6d2f6f6dad0dd9efb72,0,319,159,0,50003449,99993192,0.0000001589977
89CLvsMLrtMNvTQiGKK1WnnrNV59czuj7yP8BhqsEEJM,0xc65774357293f4b4837b43c58cac76cb0d84af28b85e04cdd37747cf699b03a2,0,328,163,0,50004718,99990657,0.00000016299681
EySWr71d3P2Roms5pLVfQMwRMdapGBvqXodxLnbJg1Qz,0xc65774357293f4b4837b43c58cac76cb0d84af28b85e04cdd37747cf699b03a2,0,452,225,0,50004336,99991425,0.0000002249959
HaChFCMKm68cAzaE4k9TZ3NPwc4Bb9p3c1JSvYz7rgAD,0x6cfe43914a765c02647f989e4149a46506a60ea0ac51e6d2f6f6dad0dd9efb72,433,0,0,863,50003441,99993217,0.0000004315051
2whAawmheoJ4RpK9YcRWDzXNpMwHJtEMNSb5Sg8JUAv1,0xc65774357293f4b4837b43c58cac76cb0d84af28b85e04cdd37747cf699b03a2,0,567,282,0,50004845,99990421,0.00000028199423
Gbe1B9r6CyPXRdgMdeKt539fjVnE7Bjr8R2N3haMN1qG,0x24f9a6d275fedb32d179772fe9e709dd4d7913e551c369fb6a0de3ff4697023f,352,0,0,701,50004758,99990569,0.00000035050613
ENdKndis1DYQ2fXn2frrbsepXSEkwqn7i6xtAHTFXsDe,0x6cfe43914a765c02647f989e4149a46506a60ea0ac51e6d2f6f6dad0dd9efb72,0,501,249,0,50003200,99993693,0.00000024899657
B9tymooRHyBquZVSgEt5NAgrwgmJQqypQWPfD3vyChro,0xc65774357293f4b4837b43c58cac76cb0d84af28b85e04cdd37747cf699b03a2,375,0,0,747,50004711,99990678,0.0000003735064
CxbUvLi4Npv5J3w4s6Y1SNvu5i6Y9tXd8q4NTgpSvGxo,0xc65774357293f4b4837b43c58cac76cb0d84af28b85e04cdd37747cf699b03a2,241,0,0,480,50004881,99990329,0.0000002400044
BS7kfM7HbJ9merZf1jwnDoZaEeByKGPpjNjgFL5e6Cj5,0x6cfe43914a765c02647f989e4149a46506a60ea0ac51e6d2f6f6dad0dd9efb72,0,387,192,0,50003008,99994080,0.00000019199754
7ixJ4okGtx6NCBpTQUwJRvRzoxdmanb6qf4656vsyYri,0x24f9a6d275fedb32d179772fe9e709dd4d7913e551c369fb6a0de3ff4697023f,0,237,118,0,50004640,99990806,0.00000011799776
FH7DE8BhMrUF2Kt7Xpb4h39AinBm6YHatYweDtbHoXxz,0xc65774357293f4b4837b43c58cac76cb0d84af28b85e04cdd37747cf699b03a2,0,316,157,0,50004561,99990973,0.00000015699703
599tUmE6tszv97Lhp61bDuDyMiBLwrTFa6cKsNTJpFSk,0xc65774357293f4b4837b43c58cac76cb0d84af28b85e04cdd37747cf699b03a2,387,0,0,771,50005127,99989854,0.00000038550724
EF7RX9R9FdP9MbAWJs329DvWrekNPmCWzht3uSWpRngG,0xaba7f85ed6dae8879327034fe18a41bc2f00c68005661a50a19b92130d1893e4,0,761,379,0,50004991,99990148,0.00000037899184
b22GxG1pY77W2cxoqeqsVirrdTqXYjwsSGeh2mqE2V1,0xc65774357293f4b4837b43c58cac76cb0d84af28b85e04cdd37747cf699b03a2,0,501,249,0,50004462,99991179,0.00000024899532
