tx_hash,latency(ms)
2oPs25ZW58EK9Wni8sqnwdcgoHvJnJ6dTMWn7VQbT19h,2410
8pT9LinMJEiJ2inaYrsUoLACZhXL8oZAVzzMyCWkGGmP,2410
HZ1jjiLtaf3U2tGL8JuPssYhycwTeHPbowsJU2ZP1f8S,2407
CHyv41AmusQ8JHPXPxqeFynKcKCvWmCn1V8xKvetdh8R,2413
H89tFCSrmLrvsKQ8GHykguz5u72SVuSeiJHQzTLcrLeA,2406
DrcmRGCtqjqfqoCEjyeS23EJPVfoM8XctRgUXRNqqQjE,2411
G1xS4MhgL5FtcJKQGf1oFqP7vBx424VdcPHoY27xi8fz,2407
3qoLWjPmrj6qxTrZtkLQWkrAzh7LzEqqcohpd11iYXMi,2413
B9495dmcbBUFc6jdB3QTGoysyBV98MSfixYHdLRy9EsR,2409
F41Sj4PTHPb85ByPv6sNi5qYdYKv4QaerD3za3rwQNvM,2413
Hv7ke1xZXDTQrQAwtBRoxmPQGnPzHhdATBwEeztT43Yk,2413
6cB6WgXgW21NyjKbXS5gHs3zNHCwtceGWpVZCnkY19nP,2409
8UnAhYTcG4iSs84g1STMBY8cuEMV2DaLY5kDiELcwtNe,2413
C2uY1ZSJDuiVALf1rhYDgZMgnfnsscdyFpcNoAr7GGUz,2411
J3uB8Mjte4u5iahpGykX54xgqv4Db4uBQ5o1yMisx89b,2410
9XEnS2yM1m9D84A26KETjtiBKXpTFrsf8ui9GaLwpkU9,2408
FAaxjfWGoidi1DXfZ7kYfbEGzzxh2sJPs5D7UdieHLJH,2410
AnwCMbGD2idXSA1QZZbPHF7N59Mqe9dwWEH8hcFHf7qn,2410
4edh4zhn8b2dwZREUBDmaWEXBgAUySDzfCEd1S1oM42X,2408
DwaPtGzo1k5itQzc36f5eqkXaZ69PVp4oQLwy7CkcBnb,2408
Fu1uRU4xi9RLUcVK8r28YPopqQqCGSN6k2HMpcHG4sgr,2414
45XPcWjCyYtp3zCYVWDpy7Vgk66h3a3NLqH8kryMaxzc,2409
4tttHKab7danqz3LHuhZMiPcMsL1J4hjqLyfSS5g77mL,2411
AW9FXUHRVaMpsYFrL1fbELqryYk4NRuLLfohxcSrbpn8,2409
Fwn56qervnJZZDzQHbNXyymo6Jx2h4DovoyubRsAiBsi,2411
3UN7x27TeXP35Ap8QkF3fs8wWnLxjj8CHuksUbC2bdqf,2415
7TabZQGNKH6be8bhBqDACb1SYgxUCfA3ve2ntzjgLViE,2409
2CbkhuC5zza17UZxq8ofRM1WsZ28gwwzwyp8KzbpcL7o,2415
Ew9LyDHUT6H1VVotzBooAQEAPHZdvgJxicx2c9apyApj,2411
9qWmPcgDzuAL3Tsa14bJBGyA4x5r86oc1f8CaxvRnUud,2412
5WJfFs339NKByiP7PnNyy1VQk79GePjyKerjRdccSZVK,2411
5xpzQo99RdVyHNY8iDJWSiRf6RYBtGJKAt9Y6yyRbfRm,2411
7WgWvUiaW8QUyspL6QtNfk7zpCmc6ooBrLujeFHDEjvh,2409
8yK3oGPMGS4ijFMFfBfi7ENUaLdBgnjCVthCaLNfeWm4,2411
5U4JZCntfbHxEoFqueWgJo4ph3ePnPdKNhseEn2C2eDA,2409
FKPLCmgmGUnFAQBgitsGmus163HSxgPqUDiQD1BfQkRP,2413
ETTQx64oGoGxDQfw5XB3NN7wxVpwd96JT8xeoUz7cMmp,2415
