tx_hash,latency(ms)
8n4Njkcfg8fSRn1MbdoJDdREHiws7HcK3k85WH1LUGhC,665
8waTDdUaoozrj51xE5DttGGcRdv6gQq2a16kXuFkpnSa,668
CGkbHdVBwpz1nm8SmB4pQmeMjURPBwA9mM6tesiKeUhW,683
BpnvNFXwDzG8rgFTK3LngKvmsjQsBBK2PBEoUhWyXEVa,671
GXNW9q2x4brLS1i9eDnbiMPefe47QPvFquVhCb1sKspm,866
FWzR8LaX3Ar681WvTMQ2pKvLZSxpPpPpTPQYUk4Kvv3m,875
8pQ4mKDzfv9Wiwp82ihmnijtEpFmWwGv32RC8heLkPqP,863
8Uad7PQFxTeUuerWrV8RJDghyQWMtGjedAsHh1j6TsSH,863
Csw7DDn2AABnjdV4ZgqNTy6CTBMMt3ESabv2SgN5E4pL,915
9py9osCfaZA4vWSrmRScauujjN97eXk6Ej7VUVtgGscc,919
DgRznkpWViLqDQLeEogQD2JSoc45yopDv3uXHKHVsxZT,922
2DUQ884tTA9PtZmKZoYGrWSKsACpKSgNMaXPpCuk4Dhd,928
4roBPxE1CgBNsQFtGC7x8zA6obC8xUNRS32q8hdvsXo3,405
Fzp6sjrvMTX73ffQKs3wyyDyoZFUgGaasofsx1Ste126,405
D7mZhdVV7paAfiA11AQ4kfRBvnnwte6Bt6dnHNYXhEwN,410
D1xwtbUUDqDxhYwrB71DrMrRvmCGvskSmuv7ZvCK8ygc,406
ABXSp5Hp2LFmywjDbNUTgQEGqaKRV1ScqjcZ1pQvScdV,407
DShVTYzj1FUY9nPAkc2Lon4NvdoLoRcBcD53gR6QYANg,608
GZ2ErmYzQXP8LoG4PPm4FieKgzkeTj545paHXM8h9Lfi,612
HWJY9Hb5XJkGGpP6b9WhPm1Ch2WvXGdBpUVty3vwzYNC,615
DUwwB2pEWJJYgRTwPZ2fWxDxocjhVwj9BCAyACXcQYwR,613
Bz7MXLgZcabe6CMQygSVPn5WDE77mkp52WPqN5iSdqdf,616
5oBKmfgmwcznp7dWS71HKwmZVXbsNdTuwnJ6sgkpfbkN,606
33tgutdUfTBo3UwPUBgkfQ63jU5govR3gejV64Zm24u2,620
92UVxdPwbzd6CR6QdbSgp2tE1bKhJcyXoHM6CGxgLohJ,811
8NVRGmq51xVXQGpEoueX1L2rBqtCVLBB77wSpqQ6RxgG,818
jiXXyDE3jg48fZqy9BcyPukJvxhHryxGXg4rkfnWywk,808
6kVMNVo1D4e1sixxscFiMdEiMByjXYBWDuu3xsrHXAe3,818
BQJKLgVous7pWxSaMABYhqTxT5krcnqcLSUAZWmUF1Xs,829
koWJaEBAHiCyDPUGE1Fp7GvVFmPpFA2RFDHu12fZMUA,629
8R3y1ZwF1t3CzoxNnCMXcCn8SoBbxCG6TjRHCNdMLXJX,627
34CyudsxYnw4xrpMKeMQfw87juEfA439GYKdLYU6XhFV,628
CNSuQZcrpqh7jACVHVXZZZUZFmFkDAzMwL4v3Zk9T84g,633
FA7AUo9hhQzcS9GgR4S268tetn5tPkYiXu3h4nfM9wG8,835
GxxtngZDqJiHzqFmbSWH9A3Nik9eAiFRwK9Y6JRb1ztn,2402
AhBseNDVo2i3VVuFDpmiNKUatDNc4TqWSgEdbnWw8GRX,2413
2nEuFB62ESrjcGM78PBbrWEhFN89wgMMWmf1edRmHQmj,2404
8TaihwPNtSjN7MiMjEjhH5nHnkDD8oxfAbbfDdeKnLmq,2406
BPWdbvZ678cVCgvQ8hYSAFnG84WUBtacHz4HnLcidoDV,2408
2UGPEfxXNhAT6xnbzzKQ41TLqPv667cAP2ZoVzQhuGoY,2414
GMWn7YpL7EtKhRShd6Jf5TKJDrW5Toy2ryWWMs6sdueL,2409
4LkcoyJEKYZXajMtTGiewiZouLQjArjZypaVGsVq65ap,2413
6jKjsrTzLskpF3wL3LM6CeuMTjSZqoAPXWfNxReEyqCH,2421
FBrcZSdmMNGD5mJvbyoGZemkqSHNA2LJtH7TGxb2yEML,2400
E6UHN5WjAyqCXRtD5NNJGx13HmJeUbvzSZFnByaTRde8,2421
62Vd6opAeMd5MEKeLDDc16ioFbAkmgcY2Tw1Ltf7Pfm,2420
9hD1H71HMDLdjc5vXThrpgexWjy4ENxuigSbXe9n1zdx,2406
CVwDmkTSgXt19ECofkXy38XHqb96E1kyJ3KfYFcbnF3Y,2405
79Lwrie9NZqGU6zDPVEdkF5Np6zDQ8z4hZpwx2x5gCQr,2408
HAMTPVvoAfB9pqVkuBo4BQPm4KkoFCqyXgNPmFpTo2B8,2412
49Rh2nhm8GuAKd5RThcyzwroNGAzGCfFjXnbhUmwqFxS,2405
4VuEcGXje5ED8KuMzN4T8xfmgBoRPjTi4UmzdCHG2SCS,2403
43Su4dLhTPDAVS6f5Y3EQGTz2N2tvoXZzayrux25a8n7,2414
7is4RcdsKfdwehGA327sN48UsWehoxKJr6YNnEmo24kL,2404
6tm65T5GQZV4q4zoKHMQHx9PSBhCQtpvwZvoiGTUGcya,2402
GR9G88Fc739PYTfYSoTGEb2iUyU48dVGzzy2Yc9A28G6,2405
EiYXrX7n52pvSYNjw8woPLGFKdt7QkKoDGHEUgRFFN4D,2410
2qjSAwHauFsWdVyRz6RVX1yiGudPJuRMBpopTzuXYquo,2406
BK8ksjP2FaSstABDewTBzSSeCK7UVP6tMbdUCuNZdKQN,2424
7Q1jue8WdK5MQbCHLjJSZREuzrp6wA6y2Nt4taG7s3NW,2411
5CZ952YpcdWqAx5GaAd4D9VqPETtCR9CCeUWCLgy4Mtb,2418
6jZVkhmQNXvr5CAamENEtKcDvmumm3KrBjkwMAkXt8hN,2423
GqcupXRKt2hTtV57fWWCn3EoR9L5SbjH6hk6ouHEunXc,2423
HQPdXneaWwEkwyAFnoSh3DQixgaKfNqmYRkUiscSFLbM,2411
HojHzhcWvaWcBRKPdFCoojAzteQ3QXPfJSMorYsg7XZv,2416
DWxnqgdq55qetEBmUJhykoH7LQskZ76YrSwd9WLTszJ1,2410
ABuEoFq4A6ZfEqkcGciqqSDHYQUYvsHSzkn3bqjZAdZL,2415
2QZXjEUmyQffzZ8b6ovBjEfPqDezRtMjWcRzzx89B6RZ,2420
7eBAJ5wr6M1mC8KGgEmSzPVnuRpTUYpRjnsa72JKw1sv,2413
5g8bsQWxtBAphJHNpZ1y3nVj1xgnaQbgKjQPAsdn5CT2,2421
HDKpY39kMmUJXmZjYbCueFeaBWtBMNT5qdzftTDGYPQh,2429
7s4d4ExedycU4jUTkm4vJ67ZukA7JuuzRJ2ckh7ErxzS,2414
DvuMMzMKDJFbTnZrKTFNFuLGGJQ8nena6uC55xdkqxDA,2419
5jWq3A9PHtCgojkv88peEdinsZN2cS225CePHqnhc7FH,2427
BveFed1kehS9xE2W9MuDhWbxWSEwMQhFAqbQxsHremi9,2410
952hYy7vuhC8LP5JgUuGEPfuC6KCtKFm81iDXSSeeezy,2426
45ZHKgCovEhUYckXEVkSLXsTXaV9quCkev8vm3dYcMKv,2414
5FwQ62PVc1tsaa5vVYAXDk9HJqmNGoos2SnzzUrd2o4N,2418
