tx_hash,pool_id,amount_x_in,amount_y_in,amount_x_out,amount_y_out,reserve_x,reserve_y,slippage
5tvP48TMVjNHm2NHMeBLusr7MyCVdVe1y8Bz2YPfewmC,0x0000000000000000000000000000000000000000000000000000000000000000,0,1263,629,0,999997907,2000004311,0.0000006290013
9F5RjpJWdCvQ9j6emJ86LdSNktyD87dDJijkWyrmrNQz,0x0000000000000000000000000000000000000000000000000000000000000000,0,1027,511,0,1000001087,1999997841,0.0000005109994
5GaxrYJ3SYYPyHRVQmU6bZfMFVQi6xe4CT5qNYgn6zyZ,0x0000000000000000000000000000000000000000000000000000000000000000,1781,0,0,3551,1000006571,1999987354,0.0000017755112
DophT3QWrQqpMP2RyiBtfmRBqi186kM7sHtsFNT8XrGg,0x0000000000000000000000000000000000000000000000000000000000000000,2756,0,0,5495,1000023845,1999953049,0.0000027475646
3SYAXXiUr83oBJkpVRM9GjSG2oneX71ofvd6V3FfJZHX,0x0000000000000000000000000000000000000000000000000000000000000000,0,1422,708,0,999999566,2000001268,0.0000007080003
6g7U4Kqjv2nKVpJk6cdYE98bFKkhoFJ7onpBToY4t7UD,0x0000000000000000000000000000000000000000000000000000000000000000,0,3900,1944,0,1000003590,1999993377,0.000001943993
EsDD1KRwpsQoJQutFZEnQW8XTW692DWEVgvvnrXeXBFB,0x0000000000000000000000000000000000000000000000000000000000000000,2059,0,0,4105,1000005662,1999988999,0.0000020525113
3qnrJmM8X1LPJiY3hqkMU5Kybx8XsgqfZZU2yd2Juwf5,0x0000000000000000000000000000000000000000000000000000000000000000,0,3029,1509,0,1000002309,1999995728,0.0000015089965
6KJHSTsMq9gugRELn95nfCNYSsnNd5F3uNYk8A5QmGLY,0x0000000000000000000000000000000000000000000000000000000000000000,0,3591,1790,0,999997519,2000005339,0.0000017900045
3VqWLRnBdSper32KdrnsVS1RJwg1SQ4xQmsR2WEhRy4J,0x0000000000000000000000000000000000000000000000000000000000000000,1323,0,0,2638,1000000605,1999998897,0.0000013190007
8qzAqSNjwktyFr3EkWJU11tDANEgqMavpDbneJGCB9QF,0x0000000000000000000000000000000000000000000000000000000000000000,4887,0,0,9744,999998815,2000002553,0.000004871994
6Y1vtNi5uPdy8GVTchgKUnGuHBkG2BmM2F1ytQtEvxfu,0x0000000000000000000000000000000000000000000000000000000000000000,0,3839,1913,0,999997653,2000005107,0.0000019130046
CnJJxJfzQYyC43EYa5YPoA9Zea54NHvEBwH3CWgixXGi,0x0000000000000000000000000000000000000000000000000000000000000000,3725,0,0,7427,1000001352,1999997381,0.0000037135048
7QFUCwPRMYEN3D6QHTWdJbgAAQd8PaZkmyY3fBKkTfA8,0x0000000000000000000000000000000000000000000000000000000000000000,0,3196,1593,0,999993458,2000013304,0.0000015930104
5tMXA7C1qscGFtAXPakTs35EwfQ581A7hEdM9qVXEC7y,0x0000000000000000000000000000000000000000000000000000000000000000,0,1385,690,0,999998125,2000003938,0.0000006900013
2Ygn2oknn3NHujDm3mU7u595XMDWjawkb9LvLEsvayap,0x0000000000000000000000000000000000000000000000000000000000000000,3283,0,0,6546,1000000936,1999998561,0.0000032730022
BvxhWySaqVrji825sy57us4juYJz62h5j2qGXBmkE8KD,0x0000000000000000000000000000000000000000000000000000000000000000,0,2261,1127,0,999999309,2000001748,0.0000011270008
7MchxeMBQHVLU5XT32TgDKLHp6FSFgfJFjzn5dRZAXLj,0x0000000000000000000000000000000000000000000000000000000000000000,2181,0,0,4348,1000005007,1999990445,0.0000021740104
24qzQmMUL7CPoPZ2EsTmYiMCgDMwUsewKRAXku1QYPXC,0x0000000000000000000000000000000000000000000000000000000000000000,4003,0,0,7981,1000003603,1999993104,0.000003990514
4YZVYVcnn6VGFzJwBMzf4WJqzDSvFCXGedgSKSW2SJAf,0x0000000000000000000000000000000000000000000000000000000000000000,1992,0,0,3972,1000006999,1999986473,0.0000019860136
CoC9KAGkqxtc8ejTzBDEkDwSMAJm5E1j93kSCNG8qrKR,0x0000000000000000000000000000000000000000000000000000000000000000,0,3436,1712,0,999996195,2000007747,0.0000017120065
5NJhahctGGDGnVZULo2YwV2iRohxiAxvsmFbWB4WXcKR,0x0000000000000000000000000000000000000000000000000000000000000000,4201,0,0,8376,999999600,2000001085,0.000004187998
5KVL4NpLTw1D5CQ6EhvaCmoStoq7rZFHEg5Wda6DkY6k,0x0000000000000000000000000000000000000000000000000000000000000000,0,4455,2220,0,1000004351,1999991809,0.0000022199904
Gw5f11VUNaVQUZWDiPGn4spjY2Ky2FGymy4XomfQML5F,0x0000000000000000000000000000000000000000000000000000000000000000,0,3700,1844,0,1000003818,1999992699,0.0000018439929
CtgPQNxgvGR8pZfqHRG4F9sgvCYsXF1NjFkUpxhrjWPS,0x0000000000000000000000000000000000000000000000000000000000000000,0,4151,2069,0,999998536,2000003048,0.0000020690031
4CMWcZw9NRgHag8GvvnaeZ4TdGs94c5sGHXwDVKoWeQ2,0x0000000000000000000000000000000000000000000000000000000000000000,0,2977,1484,0,1000002305,1999995915,0.0000014839966
G8VawjiLZQP6P4NwryB9bW2FDBauiuBC36vtqJAvnZwY,0x0000000000000000000000000000000000000000000000000000000000000000,1715,0,0,3419,1000000468,1999999106,0.0000017095008
3zxGUvkkUdpwrFfCuD7sRQ6dkxrimUcyfGDnAMbXv3xU,0x0000000000000000000000000000000000000000000000000000000000000000,0,3759,1873,0,1000000436,1999999487,0.0000018729992
Gmn6FweReDgCgcTxTD31nzCV56C4PftK2m4Mswa9q2UC,0x0000000000000000000000000000000000000000000000000000000000000000,0,2554,1273,0,999993928,2000012297,0.0000012730077
6eoUVZTpiuLDQinAdzZ1pJYwThLxFKsCdtibyvqXYnv7,0x0000000000000000000000000000000000000000000000000000000000000000,1598,0,0,3186,1000001598,1999996814,0.0000015930026
H127hES4JA5axoFrNMnV9gTpaj2g1fQdNBjes7bJLzSV,0x0000000000000000000000000000000000000000000000000000000000000000,4102,0,0,8179,999997560,2000005125,0.0000040894897
35ECYQiJniA3v9DB8Aw6oMyeipt5xi3j6GtvGMmhrZ4b,0x0000000000000000000000000000000000000000000000000000000000000000,2450,0,0,4885,1000012136,1999976382,0.000002442529
