tx_hash,pool_id,amount_x_in,amount_y_in,amount_x_out,amount_y_out,reserve_x,reserve_y,slippage
FAhNM6XWRzPijNYPutHR3vKCE7zDYnpoAfbWqBq8wMBv,0x634fab9e35e61b71f661ab3cfb740b03cf10c80302614cb6abf993edfebef70c,301,0,0,600,50000301,99999400,0.0000003
E9PoERCmAAFBRMJSD8vBQweCys1r4H9bmvduYhRZUXBo,0xd05fb230114ac14bf468b6e3acc1f83a7774bacaec70a6c5f8cd129eef140022,920,0,0,1834,50002226,99995608,0.0000009170047
H56wyKM1wg3qpooza3msVHXk7GYe94fdYMtV3A8UQDnm,0x551f35abba76f3df813da85800da179795c261bb6477272013b13a34eff11eb4,493,0,0,983,50003064,99993957,0.000000491505
4r2ZCXFMf6i6AWzV6y5nuQyTZ6sVXcvFrYpHqZCz9cKz,0xec65188cd01e7f612e8afc44da23e60f3d89be81b548c0d9a1adac008b30831d,835,0,0,1664,50000513,99999002,0.0000008319989
C9Q8pf5J1GwarPX1a1VcKMVS8HHouo12r2iPZWZVvb8b,0x634fab9e35e61b71f661ab3cfb740b03cf10c80302614cb6abf993edfebef70c,981,0,0,1956,50004759,99990635,0.0000009780146
C4iDGD4RUwtrMmViRKKtF9oZeMEp1EG9h7riw9wFwPHb,0x634fab9e35e61b71f661ab3cfb740b03cf10c80302614cb6abf993edfebef70c,0,716,356,0,50003276,99993572,0.0000003559948
5FMgTSDpByNASQe9UAgVUHBv9SUBHRsRCDCnzPGrSJdZ,0x551f35abba76f3df813da85800da179795c261bb6477272013b13a34eff11eb4,0,720,358,0,49999642,100000720,0.000000358
6Ej796GGDmKXsxdh1Aa7SwuD6eoFchS4XBP3ZRBceC8z,0xec65188cd01e7f612e8afc44da23e60f3d89be81b548c0d9a1adac008b30831d,0,728,362,0,50002320,99995449,0.00000036199611
GADmg6MAEX8tXeaex2fF8KXZMemZrmjbN1SYq1PN4AvK,0x551f35abba76f3df813da85800da179795c261bb6477272013b13a34eff11eb4,0,589,293,0,49999671,100000667,0.00000029300003
6mGH4q1jb8M6XZSKrDT4nmn7JFNo3LT7wkyuA3DjcHry,0xec65188cd01e7f612e8afc44da23e60f3d89be81b548c0d9a1adac008b30831d,529,0,0,1054,50004422,99991271,0.00000052700807
VRDoCynyoyM3GZd3CybsrutPRjQABKARvyL2q8rsQYB,0xec65188cd01e7f612e8afc44da23e60f3d89be81b548c0d9a1adac008b30831d,478,0,0,953,50000454,99999107,0.00000047649993
46gAncRNPJXquS628YCfrer2tGp6ZCLgQjc75hyHxyag,0x551f35abba76f3df813da85800da179795c261bb6477272013b13a34eff11eb4,322,0,0,642,49999964,100000078,0.00000032099956
5dg5KZXCjSeBy5UbVPNFn1nJ5nRLu8BwUHUc257BUErk,0x551f35abba76f3df813da85800da179795c261bb6477272013b13a34eff11eb4,850,0,0,1694,50001745,99996580,0.0000008470029
893SN2ZXvY2LPACd6Y6Xr8aWfg4268dafQtyb3hwgMAt,0x634fab9e35e61b71f661ab3cfb740b03cf10c80302614cb6abf993edfebef70c,0,960,478,0,50003632,99992856,0.00000047799216
6szmGVWwu6ibiy3tds65y96Qoy2ZqhxHEiAqjs2vm8iq,0xec65188cd01e7f612e8afc44da23e60f3d89be81b548c0d9a1adac008b30831d,0,539,268,0,50004074,99991960,0.00000026799535
3jCsnjP9Ln9XZ7UNjFstFzqmvaNYvQm2QAAMcgVWMLVw,0xec65188cd01e7f612e8afc44da23e60f3d89be81b548c0d9a1adac008b30831d,0,547,272,0,49999296,100001415,0.00000027200048
Pf3MxjHLmz7GYZNaYgU7zx5iu3ZJBRMpLGW6WvtQA1d,0x634fab9e35e61b71f661ab3cfb740b03cf10c80302614cb6abf993edfebef70c,0,284,141,0,50000132,99999747,0.00000014099984
9hUXvHfremuZG4bDTe5y5mhwCqfSjcMXuZypg6Rs3wBq,0x634fab9e35e61b71f661ab3cfb740b03cf10c80302614cb6abf993edfebef70c,0,774,385,0,50000273,99999463,0.000000384999
oSSAtbExHjPaBLWLDsDWPG2MPDvTuZmAQrNjahYthTW,0x551f35abba76f3df813da85800da179795c261bb6477272013b13a34eff11eb4,650,0,0,1296,50002395,99995284,0.00000064800446
zmf7aQXiRdHAR7WSUGKaka5TnLEUS9bmUVa1aVD7fnr,0xd05fb230114ac14bf468b6e3acc1f83a7774bacaec70a6c5f8cd129eef140022,0,714,355,0,49999364,100001279,0.0000003550004
Hnr64Y4ht6jiuTzQtJBCmLB9QPFPbsSjDKjJhAvix8Hy,0xd05fb230114ac14bf468b6e3acc1f83a7774bacaec70a6c5f8cd129eef140022,0,871,434,0,49998930,100002150,0.00000043400112
FEsbmFPfjyM8Z1y7tgArprchVaNxHVjP278s5mLTySxg,0x634fab9e35e61b71f661ab3cfb740b03cf10c80302614cb6abf993edfebef70c,0,753,375,0,50000874,99998278,0.00000037499814
XYPs5qPwQWvdN4kJxAfpoUYUDMuesJWkzK7wW85rGs5,0xd05fb230114ac14bf468b6e3acc1f83a7774bacaec70a6c5f8cd129eef140022,922,0,0,1838,50000847,99998341,0.00000091899966
7HDDL8T3YNd3Q2AZ125m8fB1u1j1W6sxsyp9KS7eQm88,0x634fab9e35e61b71f661ab3cfb740b03cf10c80302614cb6abf993edfebef70c,0,405,201,0,50000326,99999382,0.00000020099958
3poTMtCzkzih9k86WU18dbQyWQwNh9napRqrCJea5nt8,0x551f35abba76f3df813da85800da179795c261bb6477272013b13a34eff11eb4,759,0,0,1513,50000037,99999943,0.0000007564978
FrdxsbX57oi9vyuVs43iXnepFkg62sZ1VgvV2GRDGfB9,0xd05fb230114ac14bf468b6e3acc1f83a7774bacaec70a6c5f8cd129eef140022,643,0,0,1282,50000258,99999510,0.00000064099896
51qZy8arE4NvDt2qcQeZp8hfZ4p85U6YNjAQksp8Z4gw,0x634fab9e35e61b71f661ab3cfb740b03cf10c80302614cb6abf993edfebef70c,466,0,0,929,50005004,99990128,0.0000004645083
BjLGcdSpQSUkotGKML1PSiMjzyjQZ6u7L9Z7TaFbPBz5,0x634fab9e35e61b71f661ab3cfb740b03cf10c80302614cb6abf993edfebef70c,639,0,0,1274,50000771,99998473,0.0000006370003
mVeZ5zG4e17pQ2dSMPsPreahRC9968Nh1YMsK7hmsAZ,0xd05fb230114ac14bf468b6e3acc1f83a7774bacaec70a6c5f8cd129eef140022,0,713,355,0,49998575,100002863,0.00000035500153
