tx_hash,pool_id,amount_x_in,amount_y_in,amount_x_out,amount_y_out,reserve_x,reserve_y,slippage
83PkFzMybVC7rRXzNacDs1jgYBUV2LALhJUgqgB9YuX9,0x8553266d7952fae6385ffef31bbfcd9f555275c74434af7d21b3fc1a33d44da0,4465,0,0,8903,50006786,99986513,0.000004451541
CQdfTFmjxpXzMCqF1yxc1sf6TzP5y3aRn9LrDBUo4K9w,0x44bee3a1e4c26584dc5e46a2e0039c610a7f824fff94da4126d9d1459c3fa5ea,0,3048,1519,0,50006819,99986445,0.0000015189494
95ZqbpM9kYrJDaah6ZjsKzucgmwTcV1n8CzxunVx5GYd,0x369e3d03ac9e62b594998708ac1a8aafd8c285edee28276ad5dc59db996c9fed,1526,0,0,3042,50000478,99999108,0.0000015209935
BYs5x9KaZACDgAny8u43jkiRu7kM4dghJWtpdQnxHfsJ,0x369e3d03ac9e62b594998708ac1a8aafd8c285edee28276ad5dc59db996c9fed,1637,0,0,3264,50003553,99992916,0.0000016320124
7FJTLaS9w3f5oLsqifg1AQjyd44dbfPXNBmaCqWhun1u,0x44bee3a1e4c26584dc5e46a2e0039c610a7f824fff94da4126d9d1459c3fa5ea,2922,0,0,5826,50002922,99994174,0.000002913
FeoDsrEiAszTcUPfVUzwXPCScHR3L4ncTLUq2WVEELqN,0x44bee3a1e4c26584dc5e46a2e0039c610a7f824fff94da4126d9d1459c3fa5ea,0,1205,600,0,50004486,99991077,0.0000005999878
7eNqQbMW14LjqydCFo65M5vrUxzh4a7d3H1YfX4sYFFn,0x4545b411c7bd6560e3d55589741410a3e12cd878a5987b0ad89451086671e4b0,1876,0,0,3740,49999870,100000363,0.0000018699847
Bf7coQuegsC91mrKJ91i2z1p94yf1hTmcjxHPMB2tSV7,0x4545b411c7bd6560e3d55589741410a3e12cd878a5987b0ad89451086671e4b0,0,3952,1970,0,49997700,100004644,0.0000019700026
61kVPaAqqtF7vgJ8o2VNd6N1wGajayoRyTKiA8qGDkP7,0x4545b411c7bd6560e3d55589741410a3e12cd878a5987b0ad89451086671e4b0,0,3384,1686,0,49999670,100000692,0.0000016859908
H2XooJ4EHNRcFHqYPhTqqFy265uEZzmgCkXWq7c5FzUH,0x369e3d03ac9e62b594998708ac1a8aafd8c285edee28276ad5dc59db996c9fed,1916,0,0,3820,50001916,99996180,0.00000191
8bWsHQQg4jx8dAdTqsKaAoNb6dVCadmbUmLor9YZQeqM,0x4545b411c7bd6560e3d55589741410a3e12cd878a5987b0ad89451086671e4b0,2169,0,0,4324,50002169,99995676,0.000002162
GraB25da9b4ySe4NPuvwVKvq7pJU3sV2DowUQj1hDrxb,0x8553266d7952fae6385ffef31bbfcd9f555275c74434af7d21b3fc1a33d44da0,0,2147,1070,0,49997781,100004468,0.0000010700049
