tx_hash,pool_id,amount_x_in,amount_y_in,amount_x_out,amount_y_out,reserve_x,reserve_y,slippage
HWAcnv3CcPZTbyFGQeA4UjjMqaXpMy1qvnEzn1vDqbKT,0x26b0428a489196864e018f64c3880effa3507c6cc37e8f36d22fd735a0d6d876,938,0,0,1870,50000938,99998130,0.000000935
FU81mv3pbnfpnGfxzghKfaUMxyNYZY5z9SveYvbum56r,0x2b2ac0f82e6c39559c081a9ec7160e0ec82b26eb48b333d371797240e2e46b2b,0,875,436,0,50000363,99999282,0.0000004359986
BrFnMqbBuW1saVM1qCTr5wnGNPFaDiA9XBZixNNZzU62,0x9ec08b00a4cd1684a88498452bf3cb402dda181130d7b4972ecfe1d3fb193146,0,247,123,0,49999877,100000247,0.000000123
CpyazdcpXarGar9KwJ6niZxVxvNpcBvACS1R32Rvniat,0x2b2ac0f82e6c39559c081a9ec7160e0ec82b26eb48b333d371797240e2e46b2b,0,906,451,0,49999912,100000188,0.00000045099932
3Yau1fMmVFCQKYFqjLt6jewjTXzAAfTHfvL7rN9eJsz9,0xe7eaf50ab6c96d539be701e7928d10095d2e36d8d2ada4d1eaf2ba652f6849cc,981,0,0,1956,50000981,99998044,0.000000978
3tS3GAhiMF67TRyWBKGiDo7oc595UgkEBzXbH6tJkiQV,0x2b2ac0f82e6c39559c081a9ec7160e0ec82b26eb48b333d371797240e2e46b2b,799,0,0,1593,50000799,99998407,0.0000007965
7Zbyv7uRje961dQjos1YDZzjM2LV2UqocXjKAscnn4Fw,0xe7eaf50ab6c96d539be701e7928d10095d2e36d8d2ada4d1eaf2ba652f6849cc,0,972,484,0,50000497,99999016,0.0000004839981
BUCJHPukXBzjvt5uGXqFX58LcLE8hWedAbgdyYzYMDbp,0x2b2ac0f82e6c39559c081a9ec7160e0ec82b26eb48b333d371797240e2e46b2b,257,0,0,512,50000169,99999676,0.0000002559999
9ys2QQLA1mTHR8dqdfgCRQyoJvNMufMQWmnorpE9aQp3,0xe7eaf50ab6c96d539be701e7928d10095d2e36d8d2ada4d1eaf2ba652f6849cc,0,379,188,0,50000309,99999395,0.00000018799963
3y2rvBG6pDECzLDXGgHgTVQW1vfyGrYfiU5VxtBRkebU,0x26b0428a489196864e018f64c3880effa3507c6cc37e8f36d22fd735a0d6d876,938,0,0,1870,50001876,99996260,0.00000093500347
D3dqFDz8B8g1JgXtapNQVN75rSZYY381bjMnF3WaJ7GQ,0xe7eaf50ab6c96d539be701e7928d10095d2e36d8d2ada4d1eaf2ba652f6849cc,0,874,435,0,49999819,100000394,0.00000043499955
9Pw4uGmhfdeAMzLXagg77UfueS3pF1AcBy4KYoEYJ976,0xe7eaf50ab6c96d539be701e7928d10095d2e36d8d2ada4d1eaf2ba652f6849cc,0,218,108,0,50000201,99999613,0.00000010799987
CGv86XnrKCG8WeSb8uGEVVmBFx6jK4JCPp8H9dg9QuRm,0x2b2ac0f82e6c39559c081a9ec7160e0ec82b26eb48b333d371797240e2e46b2b,0,916,456,0,50000483,99999057,0.00000045599828
