tx_hash,latency(ms)
HcWyw6LuF96RHwgGPe5Spv9WzRrd6ZoemXaiFR1EExay,643
8r9PDTCJK8Sfi2GmtQmPK3FqVzcazwfAWpnMfSBZTPSK,643
BdJWXmAYQ5fQRtwgFkLCUj4MncdTudTUfT3utkiH6y3j,644
HX43vTKsH3zvViGxHGbQfUjef9ZUX4kW9DHfkpagDgQn,653
9nYJDpsragwqJeuAYpfeENy3RSF44mENLCMz65deZVe8,654
HyqH2sD1W8cfcZNpnGeAJdBNYCepHNjrhh67o9faEgYc,654
5ccM8jBJZUQE9Jes4BnLbWDVQA1yT1VkMqd63Fy7TrzW,654
GnU3oLYKtWriA1YrqgM6sKAWNyf1UJieCXXNBxdeeRk1,654
6qzYAjH3HJbgxVqbqCtbsH5Z3t6Xn97L8ZJkk8GVj5ss,655
9785KZP7BziSHpQWjtjXatY2AazNpsnML3GSN1MrDjfM,660
68wvqw9BeanWFhw5kBs2R7GsDQLQR5sreK49GukKCQJh,666
CLPDpoHf1JxzpMfxxmxgSxZ5aPLfdXpGhfSgTp4L2sy8,677
ReQDciWoYGtugDD6t4TkWvET7tXAprb8yqFp8ouHkuE,1101
6RZmmE9Aa63wGQBNUrNVsHCSPBVqBP5oNot8obhGV72,1185
CnHTR7RJfZZi7LrdcJCXL6BHLdMdRxXPqZscoHfKhAM2,1191
EkBgbLfqUczRds4gqdnDe3LYRPDjaE99Xdg7dX6iz8hH,1191
69wWFkfHEkwvfv6ZTZN6Y66wNVH3HSuP3uBvRrQ8evGk,1187
FswUwwnGT8tu4dRuuArq81G5NUZnsX3mj94a33KDaJEq,1101
5W7N1U6YePcGTcsG7Dh5HtJoKmvPzptdBHqmuw6ZCgSX,1193
9vd9f1UkbyWQosdhxoJYJEJwziLy3Jdfgp2ZDbQ2YSD7,1106
EFSMk6wMnf9NQbMgabGWhzygA6ceCwjuveHzTTPzjaKB,1193
2fPZTFtQr4tRxDKsX2uvP2Q9m2b7cgP1juSRotGRRe8k,1187
AiAUc3L9MhYp78qrLR69QZq4noq5HdZKoCAGVu4jRUfG,1193
73n22wvauGWyhWyuHkyRjf8gmcZgbtT3b3Ptqmr3u3jZ,1181
3XD7oFMRmGxjzcPZmN5tFDE9tkYpv4iuNpbaMgXhjwTL,1192
28ErfNdZjvuAhgpRFjCSbfgQ3ouEPZkWC3VpwkmYh2jM,1103
4YnXGp4VNyYe94dfaASaxLVX4sWmnf7iitceZiFaYjhf,1199
9yeiSgyNQ4ZZiWQSmr5nvhzP5kCqpNhbR3t4AY3Sdhkp,1111
B5NeN6qs1y5B7P6rFGQhhoaM3WsdvtG4XA2acFtrXfFF,1204
7cmZjn4mqddR1G3Eg6CopWykt7ypJJvJpaSJ4dpY17mh,1195
2kAZQqB6TkKThNQrjYZmgVDuJ3chiCbvfu7pXNsQoDtt,1210
