tx_hash,latency(ms)
CjnS2tL8HLpCzd3D4Zpsb9wm1ekPhtZv2udKHsxMRxj3,498
EZ3bEQpxJAPj799zPUY92RkVPKGeNfVBqATznkXUMKXM,499
3S66staHdeLDoEwbYzxGpSAvpeB3RQDuEf7THVsmuaWG,501
8j2eE7nZ2Lq4UhGFHNY3iCqDpg2WGikR13DcVHw6V7XK,502
XruVzFkGHsyfvwsYA2bwJzVHYLcWeKJeXNZhvoQWX7V,503
8o1GhgqfDaVp7JAhZExvkqCcPYcaSdF43W36KmhzAz6N,508
CGcveNCDqNhqUgncYvuwLsScfLEAKVQqJuZtvMMTWKer,508
EsXFFj7FbqQVY9CX9QzW23LCd6z9NjhXeBdng43CjWF6,511
FUwg6eFEFH3zcU81ALY4KSNWAaf9FFCQYvRUixu76aCT,511
6tmk5TkXdzd39sinEnR4jSDBnLK6TjxuPpkNQAXVQb7D,512
772WWGd1zSNbjttM2rEZdbtcW52Qj6V6XEz5yjvoD5EE,513
7LDwvJmkZXxdwxiqJVXbPw5ukzqsxMw4uV2cLRE2QF8j,514
HAtsKx31BZNqgQNJayaaoEnSYaQ6vUyvkSBN3yx8istm,516
BdgDc4PB1P8EF6Np4f1dZcmqHmYNTBNmC7RWfu6XPazC,517
52MN8F7LVRnfHoYpLiPQSePT8P72G38v5qT21f1wMEE,517
554cxPHZzt9f2nBL3TtvWpEcYdeBCwy99rNGRYK7vCnW,518
H6DShFLbdsyzNUbWuHDGXt6pA2xSerMLusk9FJB17Jj6,518
5v92JNGnZ2KEm5G7C77MDyXEJ8kdQVwkK9cF4RZHsLq8,519
4FK5cv1NdED9meb5jzfgM8PFCxY4qVisDVBQCK9aRDTX,520
GADWqGzjA9dh8MXPPnouKLZ3dYcA3QNtizT38B6cAqMF,520
9UAkbjLVArxu3qyAkXxEh9mHhLRt3E7nWmj1SCfxwDqR,520
4zPD9RvhJ3M5i7GmekAQootbFm3gs24BMq4ytFggzdwY,533
69DRpn5C6gtfcYp1HJjrw44NLwQmqNzBXonvo3fhfBqL,534
5agDWFkjKq8vDTjJSP3VnDE9huKuUxLFfJFBExMECTSX,535
3kWaxipeHfcwgNkic39zUumG3NSNKDZAuHh2Lef4iVwG,535
GMdK6A8H25cb42zTx7pJQu2PptSzsZ5jaaurixoJFjp,536
GgM4CpJdwTgBedfN91nDED8ZMvCJBnZ9WtaA7KCyZkLX,542
HyUNwJbt8HfPcgtrGGZaNNuZ4SWhzshqyRzBWCjk7dfY,543
EQtaqtds1pT2wM4xtt7kNx5dyXcEQH4V3KQescDFFy5i,543
2h2fcggvBMEBihYbsM8NiXNXKNsg28YVbvFN3mLhRw66,550
CJFCnac9aGQnadTLxxk6ZtMR9DcanurG5Ps7KSNvzENk,553
7zwCrvLH9KaHMSWd3PUAY8iZdbkjVMWbkAX4ukbgoG4F,559
3d9z8feZgW35XRPnn9wPnSSxZTZHW59GsBKZiYrgguDt,560
5REfvssGcX3h8P7gPM1pRyw7EoDStdMxE7Q3PVAhQ6kd,564
AdQC25WBdc8Go8NKT4ebXaRsdXksRGXLd1ozTh36QCDk,565
YwSFXG3VsAwR3MdAGmURMWa6GKPtuoyJVSsdQ5t4bSF,573
EzwRMx5e1dxP74uPPG9NFSfPzcVASrhwTt3cSQzkZx2z,574
8hNXu1g54CobQVqSUsdvYVGsqgEENrdQmfMx3YZC8Yew,574
8yAkzhCXV9kQVRNiLw6gHCkDvi3UQW7eXWUckyNEC3fh,574
39hscHSK5LWUxtdTFkWMiJ5Gg4SMPjJ7qgG7fC866rj1,583
C9DVFGSVWQskYXU9V8EaBsyvxnCAEatUnxQQoLY7HoiA,583
HzSoFJcQZ6AxLYhjnRMYPp5WEkBrGHSnoHizkpedQJbw,583
8wLbffkxtjU28qhs9a3TEz7m4Pzy4U7XbUPyY4ig914F,583
EHsi8ixLK3JnjZNwUhNQQLLfHFrsFxwPyyWCGR4Hb3dg,593
7puURy4kVS6ALkWXEAvbRUAiMJD8v1txUX2zL643iPoL,594
3kJH7AmBQkyRduXawo6G5mE3NurhFtA3V5Wxy8NbmZ2z,595
9oGCqFqrMahB5yMEdm2k9wBeTkixEH843uTFQzuQdP7d,595
9Rpue6DPQHuh2TzaeP99J6XhpB9HahckpxJLumuaMJ1v,595
4KrqvubhUgqtrDfrPJgGtJiFJkdsmAcov1PFYiiCGsnB,600
6LsCp2hjAhdSGDAHKVG8C5v1JrHzGeePPsTVwiMehqeY,555
59hhVVFqUe4TZ6ssUTGrMkrwNgzGaiWQ5iyBAq5xvf23,542
CePAFQRjVrW3f9UyepiA6KaJzNFHbqvsevA9Q9qWDVgv,617
3Dxd6rRCLb1NZugkfAif3vZFBQVNgbk2VENesT38rPUn,641
AW21QLPiGGXFLXupe3bjpwAMVpRtvys2jbbwJ8QdVLxi,566
3C3CrgCiAvjFM9wHPGqTmRp1917N5JQxm1HvPyW684id,641
HScnyPeT4QH7vLsgoG9ZGCzG8rj8ELzitq2ecYvgqJRU,642
FzU2JvMvLT3sh4VtEfYTNUHL8wKXFAEhrCA6r3BLaTPM,642
8AEz9rQYMGbHwiT9tgAqtR4jGXas1JakBbiE4qVhyr58,642
GHGCMd6FgrbvWGBZwD8BrCJ9GhfLPDeagiFRvwvSFK2T,644
9B5HBKFtBhi1SQkZ3rZUx9hry6F5RUDHFpzVCTZ4iN1Q,645
3rw7DQCQPvjgGBjRiT8VFmSw4AzbxPLPK75ebxGNB5Jw,578
DTsThNSXfMKut3xNGZCqUKrDbZUqhbiD3ZVigdPUpDGU,601
2rekYvz7aN8pEsRaiCDrNaoJbsiNxHPVvsNHR58yBANe,588
9P2puFAK5xxopiae1bApVYbB8zbWfSHHbZS4ukVfM4bP,599
84BZmfdT9cScX3HhKtx5bT4HGBJNG8bRmbNV4rZ1gCjT,605
ARAqdNsxq1wkQFLf2DWG6pA8pao1XYjnnLRbYvCX9xBx,610
CE1Sv7dBoJWNq4Giv2MRDjoyEXCfNa7nbf8ceZmr7np6,622
GpWvtEdZqLZfCiXR5SBDtqvkw7wPqzi7LiiL2QQ7SY8o,682
6MAMoEwPZ6pcNsSBZWnYyHV5TNfnbPBDamjsQiomzXZW,640
CMKga8CaJyURyfQdt5xbFWgz6VQBJFukvYYEWVj6e29Q,684
7gAQrjpLHDJ8wZyq4RBNwRAWGRiaPGA24Eu4Y4hAMzqf,693
HQaCGNjX4nvqE2bY4BKDUnmq3vvpQkkvJajct6HbrsDH,662
AGz4v15hhbZ4c2z3jeFLpkuAcb9V7AaNSR3BYtu9kgUU,634
F2yLeKLrkrvWbki5p61PMYvLSDkW1TF1G5wgYHNUK3eT,647
2MXFPJH1YwhhA6CUmdsFaW5QSgprn35RzYjFNkpJhwyR,641
2p8teFow7ySYYBwskhw8dEy3qxCM2rYR6cTm8Jdac1rh,707
XTEEgL4o3BEvNdPbQM4h7sWJYmXyrguG2zFn2JS2jvA,719
4xEsynxC24YHeVn17FYsU9pxz49DBbjJbvYgxgC4feJh,723
23SgUaXjtetRf2f9KEBbQWqkYBq8TNiKGKkdFQw7Q9YP,735
9HhRcqb9CuQAgKr3n57zUwcx3CiGEat8eCw7cHbM37Dt,1385
DNofZXbgufDK6qJWF95Bv8r1XwttACQ68KSRrx3knZFR,1592
Epe4wvmCpHpmDXV1iXzHp4vynQrn6jpK5CeyRKAFaiKc,1448
HgbHfCpA9BxQS7ey4xk6Eh55g3nj5Hp4E9thBrpRVUGX,1453
43J33iGesyxVE1SS2NiiQa3wuaWWkcvELVNTbMC1htkj,1602
4P63AB6MrQVFPJ2WNYm2KY9upLo9bgPzkovHHhThRwsC,1451
J7VHtmAXUUEPrPvjMGdG3S8sWBEYMrSzbMsAiatEPWnD,1587
BgFEmXsQxhPFwjKZtWExHPKGxYgPayWPW7h48QNjmQR,1452
8NbyDofJQeFV5SumEEUkLM4pQBk7RGx3nuUt8XEh2Mfo,1591
F8g3DxJNtfRKJJ8BVQViCfxxoWZXn4xmAkbtLTTQMpNk,1638
2XGxZpVWAJUg9qvBfxrtUemFsLKpB4UneEdEWSLqUK9i,1651
ESJ2TPokfdZpQwd9dud7QG5dUiDYziubnqXcF2P22kXK,1456
HYadnkfe4HgXs2Zkmifws9UgkRmtrd4WyrSHxbpWxL9a,1469
5UhdAwS3VR8rzqoRfikrFXDm26pfgGkgyo4b6EfTpE8t,1470
8B8gPZFJP19U8YTvYSHq2v3rgQ8VLBywsg4KZpMv7B59,1492
4GjqasTZYF6pfAVJGf9ZmcqSH6hYjhtr1mnXCfBdUUJa,1504
7wqfW7Q1ZgApb8ufpfYBtStUWSiHCsUD6FgoGsAsfQDs,1505
4McaypWtfXPv8MsCV457fkMujeWgDsFar3JAFi8H2d5t,1504
BJB1Wj2CQcGS1GMiUxqMJTqSoSAuWYXxxDTp74GomYkA,1692
6ogrQeQzrRXXupTwRQpZJkaVjS5GpXYGKkiKx4VZoJzt,1509
uYB7LdNEaz1YN6De173dRWpsvhBXDFLKVUcm9uvH7eE,1654
