tx_hash,latency(ms)
83PkFzMybVC7rRXzNacDs1jgYBUV2LALhJUgqgB9YuX9,394
CQdfTFmjxpXzMCqF1yxc1sf6TzP5y3aRn9LrDBUo4K9w,402
95ZqbpM9kYrJDaah6ZjsKzucgmwTcV1n8CzxunVx5GYd,394
BYs5x9KaZACDgAny8u43jkiRu7kM4dghJWtpdQnxHfsJ,404
7FJTLaS9w3f5oLsqifg1AQjyd44dbfPXNBmaCqWhun1u,408
FeoDsrEiAszTcUPfVUzwXPCScHR3L4ncTLUq2WVEELqN,405
7eNqQbMW14LjqydCFo65M5vrUxzh4a7d3H1YfX4sYFFn,395
Bf7coQuegsC91mrKJ91i2z1p94yf1hTmcjxHPMB2tSV7,401
61kVPaAqqtF7vgJ8o2VNd6N1wGajayoRyTKiA8qGDkP7,408
H2XooJ4EHNRcFHqYPhTqqFy265uEZzmgCkXWq7c5FzUH,409
8bWsHQQg4jx8dAdTqsKaAoNb6dVCadmbUmLor9YZQeqM,405
GraB25da9b4ySe4NPuvwVKvq7pJU3sV2DowUQj1hDrxb,401
4tufTjAjRFrgqoEv7TAMMsoCa1MwQvfDse7yqxsgf2JK,407
8uJB51DrR4rwV5wk216dQEhFrzMez6EKjXaVUHjbkhiV,401
4sBE3oMThYFuvP6wa3XQyrkmpqP2xz5nepmgprgTKPfv,400
BobHTGUQXWgAWtcJRi7bKTHkvpBZzdvgsesRc46vgM3n,406
HjdoT5d6jz8j3Rx6KyYiCrveX7nfS6xBNbh3Y4RSHfpM,405
39DTgX6wu1jszzCh3je9SVaJo4UEisQSBJL6J9R46XH5,402
9YJACU14iD3y6e5dYm5YLMtNgzm1RsnnoPYULoqi3QX4,396
7uHJ7BcMy9dZG4hyPCFREEP9gRgSm3Rmy1HFqiSFKMfJ,395
78Nnczk4zoKe7KRyxdXnVPMheL1oz4fTm8d3XFibbfxt,402
7ufkxMj43aA8cy1JwGkdhJghjkHHYbKRwQNtZG2zg8zf,409
612RhSL1WSobVgr3L97WRvBkjJRWU4yUAXdH4Nu2RWWR,401
4AtEK2nTEc8YaGBTHngpynZ3hKvfpZNgTzzU6W6Ru2Zu,409
2K8X7viTaojtFUsvsa4byKn4HaqfZKTNNiCKJPNJFUrE,405
BS3QzaaEhTr2oGr1WfvTsjenuYfubUMMz1V4Ahdh7JJd,398
9aazVLr2EnBLggfcEtUqVGBXVmN6GLbCHipinUhaCGZQ,408
CbiwTqsSZAi4Pxr9Tu8QtEicm4uSAwa7zvCoFV2qWUhA,398
GJRHM4qAB4JsuAadTp9FHAA5FvurRte8DJYAr9HDjtt5,398
6ZomTfJu4NhiQmt8gRVw3nb539iooVTPyC9Uy9LXBMPW,400
5g8XXtoFWPy7wgRF1zdgVwsZvYdAW5rvTzJjbd5UoTeY,398
6LB9ZLZyek8TWs2sF2LkGjo3zBD6iskt2kgqvUEcsE92,398
7SkkQoNctBwXjHQoKeDXSFLLdJLo3vXd4pVQotpQjkok,407
Abmy4aVEh3fA5Syu4DH1KyFV66rzRKmZfCScRgMTqm32,397
92vpi3keifMLyTzdpTUT3UyraEWd1cBGQo41c9mxcztZ,408
8XvgVRP5FVcwKKhUPkyGXDtbM2RoJLXEGVMFE2AeUq5R,399
HRjdHTA3oEfqmrCi8xU5KmT8q7Wura8fLoLeuQ9Q7Dnt,403
DXVbbR7oJEQdt2ZcrHauWgeKYfUFv9ZTvBqyudsGFKH8,396
FasHAzfTwMj5jFTXHvbkADnpEqE1a4LWUeDU86cgAqp,398
DoqTLVhhBUv4NMLuvAnD3CvRfqyakEAikYk26M2W5HZZ,398
G7xLYzqdJxSpQcSffxHwWTFvcpfQ7HmfY4SaF3QRB6vf,404
Dr7G1yVUbTdj1Ka43VPdK2NAw7DKgmZgTA3tDbqjKyxu,400
DQBYwTf5CepWtYfSZZ7m3bXqrvjMSdhJCNNZ5NicRFGy,403
Fc9kX4tM5JPTSS34D1B1PJhgBR5Q9RNodo53hDCAJ98N,403
Dor1gHCYasvD2S1Ucci9kqJ5uf4Af4foZgm4BzJXrjA7,402
5ECSS3L8mn9cbbkyYaMdgNQHXucadjSGGoMjuBCU5hde,401
CXuprZReQepwnBZRLZ5DH2mDihtGuTpsScUCnYsq4MMA,395
68E1s1y98a8dA6N2Ca8TM5kLt3TPMazbKrpvejcJ5DN5,409
9Sgnbu1hzp9m3f9vzhVBJ1mkEmxP2MEF9mCQEuWWysuR,405
5K7VEW5H3EUq3Tpfm6BNifGmDNKJYgrB42bipGwsXZ5c,405
FfqrsFFj4tjcVRdHjbHC7tTg6gezLPevjkQFLxU6iVbd,407
AVLkVeqEpmFD2creeqLaQsFonTqTdMQCpzpytpfndPbk,409
7ei11axeaTHrtDHPegdxib5B2EsboJsLimRHrrPv7fsf,404
2MMNaM7PWthTozuyxGoBu1JxCisRd97N3uxocNNxvqAk,407
4CjZLSxEDEk1Lm6emTiDxkA55fn2bSxDAN3Bt8dm51cC,405
HLPZgD1jc2Fp5vWvtUKysMs2w2xRsQBsErcBcA4pQNGe,403
463eGC5aA1w788jAv6cpRzbwzJSYsadjAfXB5JQ2B9m5,403
7zhopCLNetTX2rQJ2e95W8irVWYmJQrXwu6d45YZD13v,405
3fYp7ScVvd6XhWAbiiQAddzZKnfAvHcVexJNuF6a9wvk,405
8Avdbhsph74VjKxwgfpTo8YwF6Xo2RRBWmQkxEseYWZX,446
GZ714ZmkCyA9FxVgouTTC3ozPWU1LGvpy4Kq1Keve9Y6,443
AttCanyHba35xLR1HSAj6GJYQFiTK2H4qaAv4YUJuSh9,439
AyeVbQzPopqvpGzt7xvViqnzXwBpi16Epv8PsYJd2DT7,443
8eBiwfi6jGajic4jx9SGxzjidA519NdkFUtq1pJWFzC2,441
CTWvaZ3QiqDJU5xABAtLxz1j989RvUokKU9z4V3Kaqsb,446
CVsbZU7QCutCZCzuD1X9BQELEQj9SHfcBe1mG7aixdA9,444
FrkCqnRAGHvKggn8EmZjEBsgvZ9SamvTZtJa5v3AJzV6,449
4QowtTktS93MLeR1oH8GT3FhvPLY34NLWxJ489z2Sx4m,445
55MWVNzEqdsBtYjmVcf8ijv15MgRjkn8ugzfqBMhFJYU,448
43cpL7xmQFLb1weMr85QHZrHxexFCMez5Nqutx7FpFaB,452
4KoyztJpd6QaMS6Tk78YHgD4pjuHAEKHCZuzkZgSAnTi,444
3Lgwb3FTgqDpz7mFtbyZNhF5zuc7vFyGMhExGRpcF7Px,681
4mfepYNThPfMDuWaVefVrkNjuCGV8LZYnC9o73s2b7fP,682
