tx_hash,latency(ms)
2Dr7UrtHaVEUwU2h728p4h4FwhSJFGNMuW8aHQk5P4yn,418
7svZ3Rw8RbJSDPWrGujxTKieP9cZD1jqipFvQZGUgAfP,419
4fiQzbDsmw9hE4KNByqYRuS6iewhkXaJoJio7nXioSdb,418
6wkprDjE2NsmenJJ5zfJoJnhrBP85aPzGuCGLZ3EqwFU,417
59Qndj6gxuTdebzxWCHpvgd6h1tBDeMWbAATodtDndSS,419
HjCLcy9PyVQhgspmXCA944SjPE9Vv8SgWzRqUYhu2Kk9,418
8WHMjAJ45d73RYibqQvuKXwBo5R8XUC2B7o5UJcwvyjF,420
38oaAok3QyERpy6skCoaW2sRURcZxrYXjiR4UxnA53oC,418
8SgeQajPfwNGTKNoKhzYqCLUM4543AE6NqrCMN2T6UZL,418
AKNxX2D2Gnt7vzKK6VMHbeFgoHXLBTMCwYW7HXTfWbVC,2399
5Q9H3Hy9F8rZJoHC4XQMmsJjMj5Y8RFZr4Mk5HHjVXD3,2397
9Evcw4612ouNkPFWRo5Da1xqX36ESAUha2dsmHwQMjfg,2394
AKPd3hBosF2X1fNuwLs1nLdTe9LKqcpZXX8AsVrsT7sq,2401
HcMa4646uqnv2kRbTREUM6NKi5UAJUBTgE4Y77fnwQgv,2404
2jexqbMFPMpQHLem2e6Q9uTbHcvYXnwVe4pdoZR6xdWW,2398
8EMo9Uf35pvR57hdSigKYuyHJbG5QsxLDrAwcLAvU7gp,2395
FUu7XmoBXgchw4ggjcEWok5jyYJ7ceYLaZ9hPbjsgZse,2388
8ubNQPsw48LYwQW7vB74pRwALXUQvt6J97McaYzZ4HeV,2404
8n1WcEfvvJp18uEZWs2W6PeMm427eBXJqPBW6y3STyCY,2399
CjVwZgN2jQiQKzr3anNicZyEcaSBX1HbF3GtotQaF5pi,2402
sWJ2NF13KMwH5Q9nRZ2QLDdfXawQnR5sySKC6WRPaGs,2398
7dQJ1oBSy86GjaqwKB1LsFGX7WCpaFbqtyq6EfZ5vdir,2401
8fcnpv593mCCQzdc76MXTZrLCXaHS8nMqDSypY2KbsQ4,2401
7cDEQm9nUM6jT67YEq7aEoCyWSbYenrHknUJNLsYEPsz,2402
7P1vw4XKgZf4afjdgTkWoJo2prXtn6BrjvMu3ZvpqH4F,2409
DtdXz62rwg1aizfTbpcpj1XoevYwqQJuF6bvkrxXCJ9m,2411
Erkw2jP9tzx796Tzq7A3NgRyfYYLNJJ3tdJyWKLBwSes,2403
5VvwM1hN8vJiF3k79AYrEfbaYHNjsY8BDESa13ksHKBn,2413
DgAejxeVvouVZBPxPD9xmQptoQ8wU3pFQ7SxQqLFLoKS,2408
4G26mQ2YAoqgpLDPs52zGrKQQD4uPbiJY3yfGMTpuZyg,2412
6H4uzMSfU8jdfkw7eDsbZ6NjGPN846pw5W41P4miuv5v,2410
2D87wGVFavMBnipZ3oV1HcdTtD9STjejVKQfrLcFYiM8,2411
3tYKD1Qb6fw5VSn353W2HVKukfer2BTKC4b6fN6Xku1w,2410
9n71Phg24nQVdajSxfiAHeiDK3TnokKPBzGQjSrrfbHi,2419
B4jHoQx1ijBJkpsMDDuCU2h15kZSP5bfQKpt8JondoVp,2410
Gq5J9DqVHSLWMurw3GQnc4JtH9fd1kBrq77CJeo7vix2,2418
BSVYeDioJigru1ZLMv8qJQRB6wRqzUYqHdwPoeW8xsuX,2412
Go31ZBwo8tFRNewaxmvJBxCJfkgpxMdqUmrF72dXpHz7,2418
Dv1f5dJatNPZjNNTqsPzH8z6ruzz1WBtJFTimyGDhkKr,2417
G4oZWofWDcNqUBYcQD9Kmg8w8yEjciRxg23Rie23fzyn,2421
Byy9dBUBWzg9vNKNBydkykjU7bAcq1fsBeacBP3SKFzj,2425
B7ANtma551fS5FMZpxPffu993F1QTsX5FBm4LBccMLJs,2430
Gt2NWM36qiqkeHgUtjNwrU2uCjByfkuL29DVzTUX6qo1,2423
4Y56vK7g8SgzEnsEr6yHKWUJGut9G2imCtWF9EKhK355,2429
3ujYRqA7Qp57KDhZ1SRJafXdv9YLRijKZawBbLqRfVy2,2429
58AzgJfLKzuXuLoWdhfZHptspDkqo9EfxcjTpZo3S9SV,2425
AbLEWQWpBCk5cPnPu1XSsuiu5QVbHtpjHQ7ijYZzK5mN,2423
7ndeN9yRk3CAZx53k4EdC1wGBaH8cwNGb5u32tedD8ec,2427
4qzEgQXSSts53QsoATi1CgvtV5tg5kxqMwhnMrSCsMVJ,2423
E5denZGTLzGUQbE9F6YvFf6iCaKYUiMjP35FbmbqAS42,2420
CcarGhRBq8ccFXPC5VJj5MDDUfyCFFbEZUUVyHWM25Mx,2423
8oF1PmB8LGgkLCfsfmpaNrDuaXWzhA3kEdEr8VYietyi,2426
AiCtiqGSLgMuVVGFbmrJtA6oVed7M7F4YJXspmsjkwWL,2430
2tCQKCPGXtSYhYMNFH3esDznUAKFwcF7YKPWQDwvzGNp,2424
ArJijHsBRmp5cUt6VMdUgGBMNw3rjoQ6yp9mxpP3sVii,2424
Bcc8AgKim5EqZAzabpvebyz8zGVFBPbotpusFgdgaRJ3,2434
9L8X52SFU6ZXja8gL59Gb58AaHxichemcM3f8PavjnNE,2436
