tx_hash,latency(ms)
ENoV9XaRacZqKKXdjUWSLqguaVUbTyhBWobbhUvRrRCw,461
BRbcFsK7Lcf28pCyX6h4sNTG2T8caB3Dp7UEFnFd2XM3,470
4vWLbJGM8jJdJm7zgKBqMritA847SLPqFmDieeh9KaEW,474
AiRy3LGwXJ6FwXMws4y57DXQ8cV5N4p4jqWGsuooXFGn,475
EnXNsVevaszHGTd84JxKjKkjMNakga3jaxbRTpt2u91s,467
5s89cYH53PJRoigjCSTnbZEACmrrgxs2ysXGyoQPsc4J,470
BxBSYKaz4rX56YuzKm9cwmRNeMW3nSU8EurSL1zAQz9Z,442
BchoLNv9fCasyVw2xGAYLS7YpVZ3fDZgRFhZP2Z6dwEM,466
HjTSEBNerKifgNvZuM9F4KPNuctsog2MQGt5dhFMEy17,462
6j4gaGEGU6GCirFhP2gFKACKSScY74a1vv5DKAbMfs1S,456
v8TVmmdP1HJwDzz42oFM7f2WUPA6oDobaMGyYGpnxu8,475
FcaVjjs4rExaNAp6T7QsR5ULyeQVUd5SwoUm9W5watZB,463
83wMENY4QkdYSWp76RCVvVwfF6jMPjTmQHgwbPNoLnJD,462
6Rb2VNxQ3szpUuPLjB8YDwWnfG8PzSGxe8eVBt1oWrVE,470
4x1n5TUqHTayrDK8yTM3imZwoT4tBxPWJUzkJsJMQXWx,476
63nKjiyghrZdTb9JkhxeAmHH6moHsCw9nbbjD7nXNfyL,474
6N2XfjbFotc2E3Ssz7b86NRJNQ1TZ2tc3QP2QD4UADCn,445
EASWsJoght1hwh5bNZHZkKEz5EibJPpxbURuMoB9KaJA,474
9T5N4e6xjoW9YJRLMSBE36MCDdpBtkkmWqxKra7vmFqZ,472
BTZgmBYL5NTbBVSVpcmY38sAGUo1emS8aALg9ZYaWXnF,478
HXaKcGLJsVj4cFZkqZs9W189tSTDKvAw8myoy4XEp9Fw,459
ENBtbNHSPac4DFdnHmbthEiVN9nbhk3jrEND5wwJR4Qa,458
FpN3SDTn91B4Xcpbah8inbqvdHQx1fX8xg5mhNbpbNj3,465
6vXtcC7N7mKzzXtqMUeZHEzLq9rZ6dGUXVVSwcdDMyhT,465
FFmBaK5w9J8gYyZyzzLYcmoypTUdxd7cfGmTPus7LSyC,477
8FxKfbUdCE1pzZcSEFReVyJDuXFjyWyrCpn9aSc6iPwT,475
C3UGZF1C3jzQuUcckmi85T8xapWdtnEtX1PDj2t9txMd,463
HWKT6PRygtZE1jVL5wB3AVs4FkiycT76roKvxzynHAPD,450
4GWDQh4EtbBQBaZu8tsvgj4zEpBhsReAZMHMPtfVex43,477
BkswS3i2Lh3UHqudtoQVCCYL5H7x2UYfuTF1ZddtThUo,472
AFNu6TjaHBjkx7r2t1p62gmCBhQB2phwyHGcGSBNwkJ3,472
5kAes82CkRvHPo2ciGfYcuuNJEXWRLKBsxkP65hXbmWQ,458
Ft9AxfLKDQdLsYjoDrqVXxPWVQ387qqg65SZcKGhSkLg,465
BcD5tFQqQHdgE4k9CfkwJvj52UoodPEhiXmjw5C2biQo,411
DNBeLpkHqCruUqJibLjK6W7qUQYjXhwSF31Em7pMB1jR,420
GCNABkADmMWyyrUd9XcjmLdSRyFgZgAEw1qnFPkS4nAU,460
